Stanislaus Hospitalizations - by Zip Code 2010,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95230,0,,,Not applicable
95307,26.032,12.369,51.174,Rate may be unstable
95313,0,,,Not applicable
95316,0,,,Not applicable
95322,12.856,0.325,76.335,Rate is unstable interpret with caution
95323,0,,,Not applicable
95326,11.994,0.304,72.333,Rate is unstable interpret with caution
95329,0,,,Not applicable
95350,28.235,16.048,47.692,Rate is stable
95351,40.929,23.122,70.476,Rate is stable
95354,34.453,15.613,70.478,Rate may be unstable
95355,37.681,23.647,57.731,Rate is stable
95356,14.976,4.767,38.152,Rate may be unstable
95357,8.377,0.212,69.79,Rate is unstable interpret with caution
95358,38.981,18.934,74.748,Rate may be unstable
95360,0,,,Not applicable
95361,22.573,8.755,49.145,Rate may be unstable
95363,3.93,0.1,36.59,Rate is unstable interpret with caution
95367,4.43,0.112,33.021,Rate is unstable interpret with caution
95368,0,,,Not applicable
95380,21.765,9.321,44.333,Rate may be unstable
95382,20.091,8.026,42.635,Rate may be unstable
95385,0,,,Not applicable
95386,62.849,22.788,158.929,Rate may be unstable
California,12.692,12.335,13.058,Rate is stable
Stanislaus,25.613,21.363,30.552,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
