Tuolumne Hospitalizations - by Zip Code 2010,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95309,0,,,Not applicable
95310,117.046,2.963,652.14,Rate is unstable interpret with caution
95311,19.612,0.497,435.711,Rate is unstable interpret with caution
95321,31.77,0.804,290.875,Rate is unstable interpret with caution
95327,26.811,5.381,122.045,Rate is unstable interpret with caution
95329,0,,,Not applicable
95335,0,,,Not applicable
95346,48.211,1.221,739.147,Rate is unstable interpret with caution
95364,0,,,Not applicable
95370,32.119,12.757,70.634,Rate may be unstable
95372,0,,,Not applicable
95379,35.85,0.908,209.381,Rate is unstable interpret with caution
95383,19.946,2.416,203.997,Rate is unstable interpret with caution
California,12.692,12.335,13.058,Rate is stable
Tuolumne,29.552,17.23,49.808,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
