Alameda  - by Zip Code 2011,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94501,542.38,536.868,547.946,Rate is stable
94502,319.218,310.043,328.642,Rate is stable
94514,3353.753,3245.644,3465.479,Rate is stable
94536,455.252,450.406,460.144,Rate is stable
94538,473.745,468.365,479.18,Rate is stable
94539,246.218,241.85,250.658,Rate is stable
94541,657.934,651.609,664.317,Rate is stable
94542,437.395,425.279,449.877,Rate is stable
94544,582.572,577.067,588.122,Rate is stable
94545,549.398,541.489,557.407,Rate is stable
94546,690.69,682.959,698.498,Rate is stable
94550,782.969,775.317,790.685,Rate is stable
94551,480.057,473.199,487.018,Rate is stable
94552,325.861,316.609,335.385,Rate is stable
94555,329.241,323.004,335.599,Rate is stable
94560,460.696,454.556,466.907,Rate is stable
94566,557.439,550.25,564.719,Rate is stable
94568,442.356,436.35,448.454,Rate is stable
94577,498.415,492.321,504.577,Rate is stable
94578,762.18,753.111,771.359,Rate is stable
94579,485.656,476.731,494.739,Rate is stable
94580,561.985,553.338,570.754,Rate is stable
94586,825.463,761.722,896.167,Rate is stable
94587,393.738,389.28,398.24,Rate is stable
94588,438.535,431.271,445.917,Rate is stable
94601,635.285,627.665,642.995,Rate is stable
94602,502.531,494.794,510.382,Rate is stable
94603,743.914,733.792,754.17,Rate is stable
94605,709.177,701.451,716.974,Rate is stable
94606,470.809,463.891,477.819,Rate is stable
94607,694.522,684.122,705.074,Rate is stable
94608,699.56,689.642,709.643,Rate is stable
94609,730.8,718.904,742.944,Rate is stable
94610,395.928,388.989,403.015,Rate is stable
94611,412.755,406.464,419.153,Rate is stable
94612,652.914,640.422,665.858,Rate is stable
94613,621.033,392.186,935.989,Rate is stable
94618,324.701,316.226,333.424,Rate is stable
94619,544.015,534.908,553.264,Rate is stable
94621,906.209,894.139,918.449,Rate is stable
94702,614.162,602.658,625.888,Rate is stable
94703,487.927,478.273,497.757,Rate is stable
94704,425.377,411.12,440.42,Rate is stable
94705,365.932,356.555,375.62,Rate is stable
94706,371.23,362.382,380.281,Rate is stable
94707,307.772,297.916,317.962,Rate is stable
94708,248.927,239.645,258.559,Rate is stable
94709,388.387,375.386,402.158,Rate is stable
94710,692.192,670.176,715.213,Rate is stable
94720,94.114,56.895,151.054,Rate is stable
95391,390.531,373.989,408.652,Rate is stable
Alameda,547.915,546.76,549.075,Rate is stable
California,588.555,588.31,588.8,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
