Amador  - by Zip Code 2019,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95629,471.591,433.61,516.082,Rate is stable
95640,522.541,510.041,535.417,Rate is stable
95642,826.574,803.647,850.303,Rate is stable
95665,537.988,517.754,560.027,Rate is stable
95666,599.368,574.983,625.081,Rate is stable
95669,719.608,667.331,776.945,Rate is stable
95685,572.132,548.381,596.889,Rate is stable
95689,672.699,595.773,767.555,Rate is stable
Amador,548.227,541.506,555.034,Rate is stable
California,400.571,400.379,400.762,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
