Butte  - by Zip Code 2013,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95901,1390.3,1376.249,1404.49,Rate is stable
95914,2188.401,1981.911,2417.157,Rate is stable
95916,2005.489,1912.051,2103.901,Rate is stable
95917,1033.032,994.536,1072.951,Rate is stable
95926,1257.62,1244.924,1270.427,Rate is stable
95928,968.596,957.797,979.504,Rate is stable
95938,849.846,821.037,879.582,Rate is stable
95941,1811.646,1669.407,1964.344,Rate is stable
95942,711.308,655.806,771.739,Rate is stable
95948,1279.702,1257.329,1302.446,Rate is stable
95954,1547.17,1523.713,1570.954,Rate is stable
95965,1372.163,1355.525,1388.985,Rate is stable
95966,1964.525,1947.455,1981.728,Rate is stable
95968,3198.894,3032.931,3373.248,Rate is stable
95969,1397.028,1382.569,1411.642,Rate is stable
95973,928.696,918.539,938.949,Rate is stable
Butte,1316.685,1311.77,1321.62,Rate is stable
California,573.982,573.745,574.22,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
