Butte  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95901,605.994,597.506,614.587,Rate is stable
95914,399.886,357.295,451.914,Rate is stable
95916,595.752,543.201,653.202,Rate is stable
95917,488.514,465.174,513.018,Rate is stable
95926,442.006,434.783,449.339,Rate is stable
95928,434.257,427.413,441.204,Rate is stable
95938,377.637,358.742,397.74,Rate is stable
95941,509.233,445.784,580.9,Rate is stable
95942,396.289,352.444,444.919,Rate is stable
95948,540.711,527.228,554.522,Rate is stable
95954,576.202,562.508,590.238,Rate is stable
95965,598.279,587.759,608.968,Rate is stable
95966,663.564,654.532,672.718,Rate is stable
95968,926.101,862.42,996.261,Rate is stable
95969,305.265,295.631,315.248,Rate is stable
95973,435.344,428.696,442.085,Rate is stable
Butte,526.476,523.417,529.551,Rate is stable
California,295.981,295.818,296.145,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
