Calaveras  - by Zip Code 2014,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95222,1024.03,985.597,1064.188,Rate is stable
95223,1540.04,1483.028,1599.448,Rate is stable
95228,1221.224,1184.356,1259.191,Rate is stable
95230,893.923,772.67,1040.443,Rate is stable
95232,362.639,303.34,433.123,Rate is stable
95236,623.845,598.095,650.584,Rate is stable
95245,1373.787,1296.771,1455.315,Rate is stable
95246,1986.514,1832.48,2159.554,Rate is stable
95247,742.262,713.063,773.081,Rate is stable
95249,1596.845,1555.639,1639.012,Rate is stable
95251,996.38,889.782,1113.745,Rate is stable
95252,916.178,900.195,932.44,Rate is stable
95255,1795.23,1698.085,1898.76,Rate is stable
95257,1190.327,1051.017,1346.465,Rate is stable
Calaveras,1094.378,1084.142,1104.702,Rate is stable
California,582.565,582.325,582.802,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
