Calaveras  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95222,383.521,366.461,401.536,Rate is stable
95223,699.511,656.786,745.871,Rate is stable
95228,555.531,531.632,580.759,Rate is stable
95230,506.71,429.769,597.547,Rate is stable
95232,91.042,69.023,118.68,Rate is stable
95236,265.718,250.133,282.369,Rate is stable
95245,1559.511,1142.746,2137.469,Rate is stable
95246,762.415,663.678,880.498,Rate is stable
95247,527.549,493.482,564.113,Rate is stable
95249,492.467,474.791,510.875,Rate is stable
95251,168.136,134.236,215.373,Rate is stable
95252,421.379,412.281,430.699,Rate is stable
95255,742.616,684.902,816.322,Rate is stable
95257,390.325,321.07,478.733,Rate is stable
Calaveras,530.509,523.515,537.594,Rate is stable
California,295.981,295.818,296.145,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
