Colusa  - by Zip Code 2018,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95912,408.955,389.186,429.689,Rate is stable
95932,676.213,656.359,696.607,Rate is stable
95955,556.983,516.964,599.829,Rate is stable
95957,803.254,741.157,870.482,Rate is stable
95970,754.549,667.88,856.542,Rate is stable
95979,532.884,488.677,585.078,Rate is stable
95987,797.368,771.497,823.973,Rate is stable
California,456.9,456.692,457.1,Rate is stable
Colusa,583.198,573.08,593.472,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
