Contra Costa  - by Zip Code 2018,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94505,610.358,597.79,623.173,Rate is stable
94506,317.97,310.128,326.056,Rate is stable
94507,357.902,348.233,367.865,Rate is stable
94509,841.043,834.153,847.98,Rate is stable
94513,600.45,594.489,606.464,Rate is stable
94514,832.522,782.493,885.493,Rate is stable
94517,484.951,472.886,497.316,Rate is stable
94518,448.551,441.244,455.984,Rate is stable
94519,518.106,507.984,528.425,Rate is stable
94520,538.789,531.166,546.511,Rate is stable
94521,528.808,522.393,535.294,Rate is stable
94523,473.34,466.373,480.404,Rate is stable
94525,611.497,583.942,640.481,Rate is stable
94526,361.376,354.724,368.173,Rate is stable
94528,271.196,227.598,322.353,Rate is stable
94530,282.927,276.79,289.201,Rate is stable
94531,671.796,663.719,679.965,Rate is stable
94547,347.21,340.123,354.434,Rate is stable
94548,580.633,500.241,679.337,Rate is stable
94549,305.24,299.103,311.502,Rate is stable
94551,453.428,446.866,460.086,Rate is stable
94553,601.023,594.544,607.567,Rate is stable
94556,303.723,294.731,313.052,Rate is stable
94561,868.228,858.755,877.809,Rate is stable
94563,284.135,276.655,291.881,Rate is stable
94564,452.951,444.003,462.09,Rate is stable
94565,626.866,621.715,632.055,Rate is stable
94569,226.684,168.098,304.581,Rate is stable
94572,541.95,527.43,556.84,Rate is stable
94582,267.352,260.435,274.539,Rate is stable
94583,396.422,390.002,402.947,Rate is stable
94595,472.338,459.893,485.185,Rate is stable
94596,418.053,409.72,426.555,Rate is stable
94597,353.228,345.465,361.204,Rate is stable
94598,342.958,336.47,349.583,Rate is stable
94707,233.01,224.724,241.61,Rate is stable
94708,191.453,183.729,199.535,Rate is stable
94801,523.693,514.959,532.564,Rate is stable
94803,432.084,424.54,439.77,Rate is stable
94804,496.022,489.051,503.08,Rate is stable
94805,316.549,307.856,325.498,Rate is stable
94806,481.037,475.753,486.37,Rate is stable
California,456.9,456.692,457.1,Rate is stable
Contra Costa,481.511,480.303,482.722,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
