Contra Costa  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94505,404.823,395.207,414.672,Rate is stable
94506,192.466,186.617,198.563,Rate is stable
94507,276.345,266.429,286.738,Rate is stable
94509,527.631,522.248,533.066,Rate is stable
94513,376.295,371.859,380.784,Rate is stable
94514,461.223,420.122,506.186,Rate is stable
94517,341.162,331.615,350.988,Rate is stable
94518,308.977,303.033,315.052,Rate is stable
94519,373.567,365.312,382.012,Rate is stable
94520,370.81,364.337,377.39,Rate is stable
94521,339.177,334.034,344.395,Rate is stable
94523,318.27,312.784,323.845,Rate is stable
94525,506.079,479.603,534.247,Rate is stable
94526,239.264,233.664,245.058,Rate is stable
94528,154.146,127.43,186.53,Rate is stable
94530,196.014,190.946,201.231,Rate is stable
94531,472.107,465.575,478.723,Rate is stable
94547,236.803,230.941,242.808,Rate is stable
94548,571.751,477.362,682.836,Rate is stable
94549,204.293,199.291,209.434,Rate is stable
94551,266.365,261.762,271.043,Rate is stable
94553,405.459,400.193,410.789,Rate is stable
94556,206.193,199.092,213.604,Rate is stable
94561,573.991,565.953,582.155,Rate is stable
94563,198.733,191.639,206.143,Rate is stable
94564,322.903,315.086,330.917,Rate is stable
94565,416.465,412.276,420.689,Rate is stable
94569,138.839,104.194,184.089,Rate is stable
94572,366.499,354.55,378.815,Rate is stable
94582,168.416,164.316,172.613,Rate is stable
94583,247.566,242.75,252.475,Rate is stable
94595,310.861,299.932,322.295,Rate is stable
94596,267.755,260.899,274.805,Rate is stable
94597,233.531,227.367,239.885,Rate is stable
94598,260.584,254.902,266.424,Rate is stable
94707,158.523,151.363,166.118,Rate is stable
94708,151.637,144.737,158.894,Rate is stable
94801,321.438,314.742,328.266,Rate is stable
94803,280.73,274.81,286.787,Rate is stable
94804,321.056,315.539,326.653,Rate is stable
94805,232.902,225.449,240.592,Rate is stable
94806,308.897,304.639,313.208,Rate is stable
California,295.981,295.818,296.145,Rate is stable
Contra Costa,313.933,312.968,314.901,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
