El Dorado  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95614,402.729,378.57,429.299,Rate is stable
95619,580.954,556.809,606.877,Rate is stable
95623,724.335,688.31,762.67,Rate is stable
95629,308.965,261.384,365.9,Rate is stable
95633,409.124,382.235,439.425,Rate is stable
95634,508.688,480.542,538.448,Rate is stable
95635,1122.851,1025.285,1229.664,Rate is stable
95636,438.199,386.694,498.241,Rate is stable
95651,781.31,679.81,903.727,Rate is stable
95664,725.866,641.514,820.069,Rate is stable
95667,527.958,520.682,535.333,Rate is stable
95672,282.849,267.429,299.561,Rate is stable
95682,400.875,393.843,408.041,Rate is stable
95684,527.477,493.688,566.229,Rate is stable
95709,425.01,406.658,444.253,Rate is stable
95720,256.53,187.93,402.919,Rate is stable
95721,0,,,Not applicable
95726,598.367,581.71,615.54,Rate is stable
95735,74.152,18.004,258.082,Rate is unstable interpret with caution
95762,308.903,303.84,314.056,Rate is stable
96142,297.769,261.572,340.201,Rate is stable
96150,251.576,245.937,257.335,Rate is stable
California,295.981,295.818,296.145,Rate is stable
El Dorado,402.271,399.48,405.08,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
