Fresno  - by Zip Code 2018,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93210,502.789,490.441,515.495,Rate is stable
93234,296.113,281.258,311.867,Rate is stable
93242,555.531,528.181,584.133,Rate is stable
93602,511.848,489.97,534.662,Rate is stable
93603,103.533,75.948,141.368,Rate is stable
93608,302.747,258.308,353.71,Rate is stable
93609,509.802,489.767,530.539,Rate is stable
93611,580.659,573.992,587.394,Rate is stable
93612,851.88,842.201,861.655,Rate is stable
93616,562.152,522.566,605.023,Rate is stable
93618,562.476,553.301,571.779,Rate is stable
93619,477.706,470.43,485.079,Rate is stable
93620,743.27,724.654,762.315,Rate is stable
93621,626.754,557.645,704.084,Rate is stable
93622,855.405,779.459,938.781,Rate is stable
93625,987.413,964.131,1011.272,Rate is stable
93626,601.304,564.928,641.813,Rate is stable
93627,117.526,63.148,203.179,Rate is stable
93628,98.37,69.549,136.578,Rate is stable
93630,562.218,550.889,573.757,Rate is stable
93631,721.728,707.967,735.72,Rate is stable
93633,0,,,Not applicable
93640,470.048,455.158,485.405,Rate is stable
93641,1629.457,1150.791,2301.77,Rate is stable
93646,539.646,523.01,556.866,Rate is stable
93648,468.453,455.781,481.499,Rate is stable
93650,842.891,812.637,874.104,Rate is stable
93651,776.927,729.934,827.95,Rate is stable
93652,636.004,517.158,788.358,Rate is stable
93654,658.913,649.697,668.24,Rate is stable
93656,419.538,403.602,436.004,Rate is stable
93657,691.99,683.248,700.826,Rate is stable
93660,392.159,365.22,421.971,Rate is stable
93662,553.542,544.865,562.335,Rate is stable
93664,893.959,757.475,1065.856,Rate is stable
93667,940.953,897.73,986.475,Rate is stable
93668,432.328,375.876,497.028,Rate is stable
93675,934.963,897.988,973.493,Rate is stable
93701,1124.239,1090.891,1159.152,Rate is stable
93702,679.644,670.98,688.405,Rate is stable
93703,773.863,763.571,784.272,Rate is stable
93704,583.057,574.191,592.056,Rate is stable
93705,763.004,753.563,772.552,Rate is stable
93706,740.702,731.55,749.953,Rate is stable
93710,721.293,710.975,731.753,Rate is stable
93711,475.287,468.573,482.093,Rate is stable
93720,539.738,533.165,546.382,Rate is stable
93721,3800.427,3755.372,3846.435,Rate is stable
93722,663.348,657.363,669.383,Rate is stable
93723,376.334,365.39,387.59,Rate is stable
93725,565.82,556.036,575.751,Rate is stable
93726,1228.926,1217.258,1240.695,Rate is stable
93727,633.689,627.807,639.616,Rate is stable
93728,852.588,834.996,870.679,Rate is stable
93730,380.381,368.655,392.476,Rate is stable
California,456.9,456.692,457.1,Rate is stable
Fresno,660.234,658.586,661.886,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
