Glenn  - by Zip Code 2010,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95920,859.64,740.396,996.604,Rate is stable
95939,693.871,633.054,760.579,Rate is stable
95943,665.504,610.88,724.104,Rate is stable
95951,714.163,678.053,752.139,Rate is stable
95963,1103.574,1086.886,1120.476,Rate is stable
95970,690.44,620.095,768.181,Rate is stable
95988,1324.001,1299.635,1348.765,Rate is stable
California,606.775,606.522,607.028,Rate is stable
Glenn,1144.505,1131.852,1157.273,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
