Humboldt  - by Zip Code 2018,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95501,792.975,781.468,804.643,Rate is stable
95503,636.377,627.228,645.648,Rate is stable
95511,728.038,597.56,880.101,Rate is stable
95514,365.282,251.587,514.226,Rate is stable
95519,672.826,661.617,684.205,Rate is stable
95521,551.442,538.694,564.521,Rate is stable
95524,475.09,439.674,513.991,Rate is stable
95525,797.722,741.303,863.65,Rate is stable
95526,3031.952,2708.159,3392.297,Rate is stable
95528,811.697,731.595,902.79,Rate is stable
95536,522.217,498.07,547.579,Rate is stable
95540,855.498,841.023,870.195,Rate is stable
95542,703.772,664.434,745.936,Rate is stable
95546,2980.622,2912.292,3050.463,Rate is stable
95547,1106.787,1025.426,1194.425,Rate is stable
95549,441.672,396.871,492.776,Rate is stable
95550,957.069,535.156,1593.685,Rate is stable
95551,835.134,785.154,888.355,Rate is stable
95554,1538.425,1343.87,1760.733,Rate is stable
95555,1025.031,922.423,1150.847,Rate is stable
95556,1423.361,1173.138,1726.066,Rate is stable
95558,260.055,212.513,341.413,Rate is stable
95560,705.084,654.641,761.848,Rate is stable
95562,1052.821,1016.105,1091.182,Rate is stable
95563,1189.978,1086.484,1313.031,Rate is stable
95564,1660.422,1463.064,1886.944,Rate is stable
95565,1349.737,1252.209,1454.993,Rate is stable
95569,758.514,624.46,917.503,Rate is stable
95570,638.278,605.097,673.589,Rate is stable
95573,1702.481,1612.024,1803.07,Rate is stable
95589,1253.258,996.152,1586.554,Rate is stable
California,456.9,456.692,457.1,Rate is stable
Humboldt,763.25,758.721,767.802,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
