Humboldt  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95501,438.328,430.274,446.521,Rate is stable
95503,397.682,390.298,405.2,Rate is stable
95511,143.785,102.288,201.231,Rate is stable
95514,34.762,13.092,76.653,Rate may be unstable
95519,436.834,427.034,446.838,Rate is stable
95521,440.122,427.818,452.819,Rate is stable
95524,289.685,263.242,322.225,Rate is stable
95525,494.411,442.616,570.656,Rate is stable
95526,928.622,767.983,1137.278,Rate is stable
95528,361.155,330.45,394.713,Rate is stable
95536,399.743,375.8,425.244,Rate is stable
95540,576.991,565.094,589.115,Rate is stable
95542,418.863,386.816,453.665,Rate is stable
95546,986.061,943.584,1030.548,Rate is stable
95547,473.961,429.208,523.858,Rate is stable
95549,337.234,271.146,419.079,Rate is stable
95550,85.82,27.402,219.72,Rate may be unstable
95551,844.87,777.196,920.333,Rate is stable
95554,260.912,201.013,336.483,Rate is stable
95555,792.373,670.065,939.326,Rate is stable
95556,1434.725,1045.27,2006.235,Rate is stable
95558,931.288,680.059,1262.262,Rate is stable
95560,410.077,372.712,453.561,Rate is stable
95562,700.412,668.052,734.329,Rate is stable
95563,913.114,806.601,1041.052,Rate is stable
95564,561.898,480.982,669.663,Rate is stable
95565,650.323,584.346,723.562,Rate is stable
95569,292.754,239.259,406.681,Rate is stable
95570,454.635,422.784,492.565,Rate is stable
95573,1024.855,917.467,1143.701,Rate is stable
95589,2962.718,2134.165,4027.197,Rate is stable
California,295.981,295.818,296.145,Rate is stable
Humboldt,445.557,442.213,448.924,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
