Imperial  - by Zip Code 2015,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
92227,786.536,775.053,798.173,Rate is stable
92231,414.877,408.389,421.45,Rate is stable
92233,550.512,518.872,584.316,Rate is stable
92243,650.137,642.798,657.546,Rate is stable
92249,568.038,545.382,591.589,Rate is stable
92250,740.026,714.322,766.804,Rate is stable
92251,597.07,585.311,609.061,Rate is stable
92257,991.644,927.399,1060.778,Rate is stable
92259,871.64,767.345,989.902,Rate is stable
92274,457.022,445.405,468.994,Rate is stable
92281,844.991,797.829,894.743,Rate is stable
92283,118.25,104.511,133.855,Rate is stable
California,587.05,586.812,587.288,Rate is stable
Imperial,551.795,548.265,555.338,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
