Inyo  - by Zip Code 2010,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
92328,25.427,12.505,110.963,Rate may be unstable
92384,446.858,268.884,785.281,Rate is stable
92389,222.915,154.538,471.797,Rate is stable
93513,841.938,799.317,886.735,Rate is stable
93514,741.776,727.757,756.04,Rate is stable
93526,736.207,672.018,807.212,Rate is stable
93527,1701.458,1644.575,1760.38,Rate is stable
93545,839.446,800.622,879.971,Rate is stable
93555,1003.449,992.3,1014.708,Rate is stable
California,606.775,606.522,607.028,Rate is stable
Inyo,834.882,822.01,847.94,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
