Kern  - by Zip Code 2014,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93203,490.922,476.964,505.32,Rate is stable
93205,2545.245,2370.712,2733.628,Rate is stable
93206,645.392,599.25,695.048,Rate is stable
93215,443.43,437.037,449.905,Rate is stable
93224,1102.851,1000.843,1213.552,Rate is stable
93225,1190.561,1158.861,1223.088,Rate is stable
93226,565.626,465.247,688.843,Rate is stable
93238,1608.449,1394.296,1896.806,Rate is stable
93240,1819.316,1773.68,1866.235,Rate is stable
93241,476.776,463.222,490.755,Rate is stable
93243,2200.386,1992.039,2428.863,Rate is stable
93249,414.767,360.778,476.969,Rate is stable
93250,529.868,512.728,547.647,Rate is stable
93251,1029.033,844.687,1255.992,Rate is stable
93252,517.008,485.383,551.53,Rate is stable
93255,1419.278,1290.714,1559.33,Rate is stable
93263,730.223,716.075,744.622,Rate is stable
93268,1141.133,1123.525,1158.995,Rate is stable
93276,3188.596,2716.535,3747.182,Rate is stable
93280,483.679,472.898,494.712,Rate is stable
93283,1264.133,1205.518,1326.711,Rate is stable
93285,1771.769,1691.688,1856.095,Rate is stable
93287,732.42,577.703,941.738,Rate is stable
93301,1523.2,1499.003,1547.74,Rate is stable
93304,925.436,916.118,934.841,Rate is stable
93305,1059.751,1047.967,1071.649,Rate is stable
93306,878.061,870.499,885.681,Rate is stable
93307,683.597,677.018,690.242,Rate is stable
93308,1136.351,1127.248,1145.515,Rate is stable
93309,884.094,876.221,892.025,Rate is stable
93311,629.664,621.712,637.708,Rate is stable
93312,832.214,824.138,840.368,Rate is stable
93313,665.672,657.059,674.421,Rate is stable
93314,573.064,563.239,583.072,Rate is stable
93461,827.141,773.997,884.712,Rate is stable
93501,1150.052,1117.841,1183.257,Rate is stable
93505,1001.652,983.313,1020.458,Rate is stable
93516,1340.652,1281.828,1402.143,Rate is stable
93518,883.025,817.329,958.171,Rate is stable
93519,62.718,28.678,119.058,Rate may be unstable
93523,1060.103,1001.862,1122.848,Rate is stable
93524,263.317,109.377,538.795,Rate may be unstable
93527,2142.818,2052.93,2236.89,Rate is stable
93528,23.184,14.82,37.181,Rate is stable
93531,1485.913,1197.152,1834.11,Rate is stable
93536,738.067,731.609,744.577,Rate is stable
93554,402.679,311.285,513.509,Rate is stable
93555,930.085,919.809,940.46,Rate is stable
93560,829.101,815.287,843.185,Rate is stable
93561,721.649,712.897,730.497,Rate is stable
California,582.565,582.325,582.802,Rate is stable
Kern,802.155,800.16,804.152,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
