Kings  - by Zip Code 2014,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93202,1011.452,972.801,1051.688,Rate is stable
93204,434.193,415.011,454.501,Rate is stable
93212,728.228,715.966,740.716,Rate is stable
93230,922.051,914.421,929.736,Rate is stable
93239,534.102,470.111,606.621,Rate is stable
93242,613.33,585.954,642.008,Rate is stable
93245,739.964,729.836,750.212,Rate is stable
93266,778.343,701.647,863.659,Rate is stable
93631,813.163,798.324,828.228,Rate is stable
93656,556.192,536.297,576.707,Rate is stable
California,582.565,582.325,582.802,Rate is stable
Kings,766.905,762.19,771.648,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
