Lake  - by Zip Code 2021,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95422,493.952,483.72,504.416,Rate is stable
95423,726.456,686.894,769.889,Rate is stable
95443,183.616,154.592,219.934,Rate is stable
95451,435.757,423.024,448.898,Rate is stable
95453,583.614,569.401,598.202,Rate is stable
95457,736.13,682.064,794.792,Rate is stable
95458,1278.069,1215.661,1344.044,Rate is stable
95461,493.278,453.772,537.465,Rate is stable
95464,886.636,837.942,938.637,Rate is stable
95467,413.172,395.555,431.603,Rate is stable
95469,441.626,395.903,494.083,Rate is stable
95485,568.757,531.99,608.819,Rate is stable
95493,160.073,121.981,214.568,Rate is stable
California,321.714,321.546,321.882,Rate is stable
Lake,534.992,529.49,540.549,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
