Lassen  - by Zip Code 2014,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
96006,1584.14,1403.213,1790.364,Rate is stable
96056,908.215,861.774,958.641,Rate is stable
96109,760.079,693.295,836.181,Rate is stable
96113,876.994,801.094,963.755,Rate is stable
96114,936.19,899.323,974.578,Rate is stable
96117,2565.308,2308.475,2850.301,Rate is stable
96119,531.861,381.477,768.251,Rate is stable
96121,2824.934,2491.775,3214.585,Rate is stable
96123,748.369,533.965,1027.966,Rate is stable
96128,653.261,589.427,724.863,Rate is stable
96130,1067.571,1052.781,1082.564,Rate is stable
96132,353.475,229.22,638.63,Rate is stable
96136,350.729,232.049,511.111,Rate is stable
96137,1182.183,1141.242,1224.845,Rate is stable
California,582.565,582.325,582.802,Rate is stable
Lassen,1051.993,1041.152,1062.943,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
