Lassen  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
96006,283.192,205.886,439.107,Rate is stable
96056,459.348,400.302,531.238,Rate is stable
96109,406.136,351.383,471.682,Rate is stable
96113,135.462,117.916,158.955,Rate is stable
96114,439.68,396.497,488.379,Rate is stable
96117,344.225,268.207,445.906,Rate is stable
96119,41.136,13.357,140.528,Rate may be unstable
96121,419.968,326.655,533.191,Rate is stable
96123,598.727,355.299,952.098,Rate is stable
96128,221.763,161.785,305.396,Rate is stable
96130,337.747,329.346,346.341,Rate is stable
96132,85.812,4.907,454.663,Rate is unstable interpret with caution
96136,145.061,97.217,220.81,Rate is stable
96137,382.883,359.707,408.217,Rate is stable
California,295.981,295.818,296.145,Rate is stable
Lassen,319.765,313.552,326.098,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
