Los Angeles  - by Zip Code 2012,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
90001,328.502,322.951,334.146,Rate is stable
90002,517.763,510.29,525.349,Rate is stable
90003,436.758,430.769,442.84,Rate is stable
90004,217.997,214.265,221.786,Rate is stable
90005,220.651,215.663,225.746,Rate is stable
90006,237.149,233.03,241.336,Rate is stable
90007,304.278,297.534,311.151,Rate is stable
90008,531.891,524.422,539.464,Rate is stable
90010,393.927,371.924,427.257,Rate is stable
90011,315.324,310.931,319.776,Rate is stable
90012,159.762,155.462,164.204,Rate is stable
90013,738.396,675.457,811.554,Rate is stable
90014,588.309,568.526,626.805,Rate is stable
90015,292.39,284.078,300.937,Rate is stable
90016,493.685,487.336,500.11,Rate is stable
90017,280.859,273.538,288.346,Rate is stable
90018,458.751,452.84,464.725,Rate is stable
90019,337.994,333.668,342.369,Rate is stable
90020,196.251,191.644,200.962,Rate is stable
90021,788.44,734.736,846.329,Rate is stable
90022,296.927,292.617,301.288,Rate is stable
90023,302.624,296.917,308.434,Rate is stable
90024,339.737,333.114,346.514,Rate is stable
90025,374.08,368.152,380.127,Rate is stable
90026,270.701,266.66,274.796,Rate is stable
90027,405.656,400.009,411.408,Rate is stable
90028,422.575,415.042,430.327,Rate is stable
90029,317.072,311.49,322.745,Rate is stable
90031,238.192,233.325,243.143,Rate is stable
90032,313.386,308.192,318.655,Rate is stable
90033,329.852,324.35,335.436,Rate is stable
90034,407.196,401.543,412.927,Rate is stable
90035,432.357,425.184,439.65,Rate is stable
90036,500.225,491.954,508.643,Rate is stable
90037,469.504,463.413,475.67,Rate is stable
90038,346.22,338.366,354.254,Rate is stable
90039,343.108,336.511,349.839,Rate is stable
90040,321.842,311.541,332.44,Rate is stable
90041,318.731,312.418,325.167,Rate is stable
90042,302.287,297.885,306.746,Rate is stable
90043,529.804,523.353,536.326,Rate is stable
90044,548.287,543.06,553.557,Rate is stable
90045,404.209,398.036,410.475,Rate is stable
90046,483.521,477.59,489.574,Rate is stable
90047,599.827,593.077,606.646,Rate is stable
90048,567.74,557.545,578.281,Rate is stable
90049,365.997,360.018,372.073,Rate is stable
90056,498.287,480.934,516.246,Rate is stable
90057,304.746,299.377,310.197,Rate is stable
90058,836.485,779.619,897.715,Rate is stable
90059,527.119,518.857,535.525,Rate is stable
90061,590.742,580.597,601.045,Rate is stable
90062,473.831,466.275,481.494,Rate is stable
90063,276.392,271.689,281.164,Rate is stable
90064,369.755,362.697,376.961,Rate is stable
90065,255.17,250.717,259.689,Rate is stable
90066,395.301,390.352,400.314,Rate is stable
90067,1190.5,1046.494,1362.103,Rate is stable
90068,396.224,387.751,404.945,Rate is stable
90069,573.095,562.794,583.869,Rate is stable
90073,370.597,315.599,443.164,Rate is stable
90077,387.853,372.624,403.806,Rate is stable
90089,112.793,51.737,214.916,Rate may be unstable
90094,317.44,297.345,338.971,Rate is stable
90201,258.777,255.052,262.555,Rate is stable
90210,552.199,541.569,563.043,Rate is stable
90211,505.488,490.728,520.758,Rate is stable
90212,416.173,405.013,427.624,Rate is stable
90220,534.017,527.371,540.737,Rate is stable
90221,432.992,426.525,439.565,Rate is stable
90222,528.951,519.441,538.64,Rate is stable
90230,391.37,384.869,397.973,Rate is stable
90232,463.099,451.95,474.537,Rate is stable
90240,361.484,353.976,369.145,Rate is stable
90241,399.033,393.118,405.02,Rate is stable
90242,421.019,414.316,427.824,Rate is stable
90245,481.56,471.134,492.197,Rate is stable
90247,414.595,408.904,420.354,Rate is stable
90248,339.111,327.9,350.675,Rate is stable
90249,475.417,467.227,483.732,Rate is stable
90250,461.154,456.673,465.674,Rate is stable
90254,454.068,444.349,464.011,Rate is stable
90255,242.408,238.53,246.343,Rate is stable
90260,443.052,435.906,450.307,Rate is stable
90262,348.784,343.635,354.007,Rate is stable
90263,105.855,65.177,168.013,Rate is stable
90265,525.384,514.584,536.411,Rate is stable
90266,391.305,384.624,398.111,Rate is stable
90270,265.766,258.612,273.099,Rate is stable
90272,409.45,400.376,418.746,Rate is stable
90274,360.816,352.452,369.407,Rate is stable
90275,322.213,316.357,328.183,Rate is stable
90277,502.505,495.444,509.671,Rate is stable
90278,527.523,520.456,534.684,Rate is stable
90280,269.601,265.974,273.276,Rate is stable
90290,588.843,566.607,612.029,Rate is stable
90291,411.503,403.857,419.337,Rate is stable
90292,499.195,489.848,508.976,Rate is stable
90293,410.499,398.578,423.156,Rate is stable
90301,492.888,485.422,500.459,Rate is stable
90302,447.828,439.931,455.859,Rate is stable
90303,478.935,469.938,488.081,Rate is stable
90304,322.13,313.229,331.326,Rate is stable
90305,423.148,413.571,432.928,Rate is stable
90401,584.147,565.809,604.339,Rate is stable
90402,410.816,397.902,424.223,Rate is stable
90403,465.368,456.837,474.108,Rate is stable
90404,756.821,745.656,768.169,Rate is stable
90405,410.327,403.387,417.399,Rate is stable
90501,455.564,449.033,462.187,Rate is stable
90502,566.044,555.776,576.496,Rate is stable
90503,417.417,411.675,423.229,Rate is stable
90504,410.042,403.466,416.713,Rate is stable
90505,469.284,462.604,476.051,Rate is stable
90601,403.86,397.237,410.575,Rate is stable
90602,506.762,497.661,516.018,Rate is stable
90603,545.773,535.772,555.951,Rate is stable
90604,450.436,443.975,456.977,Rate is stable
90605,409.391,403.116,415.747,Rate is stable
90606,444.948,437.757,452.238,Rate is stable
90623,336.934,328.141,345.944,Rate is stable
90631,531.247,525.819,536.722,Rate is stable
90638,458.857,453.02,464.761,Rate is stable
90640,338.925,334.508,343.392,Rate is stable
90650,401.603,397.727,405.511,Rate is stable
90660,393.707,388.87,398.593,Rate is stable
90670,376.446,367.183,385.901,Rate is stable
90701,369.452,360.476,378.648,Rate is stable
90703,220.887,216.891,224.951,Rate is stable
90704,768.812,738.477,800.346,Rate is stable
90706,514.209,508.974,519.491,Rate is stable
90710,434.451,426.771,442.253,Rate is stable
90712,534.582,526.694,542.573,Rate is stable
90713,575.178,566.68,583.788,Rate is stable
90715,411.455,402.692,420.391,Rate is stable
90716,359.46,348.835,370.38,Rate is stable
90717,635.551,625.196,646.057,Rate is stable
90723,384.865,379.043,390.773,Rate is stable
90731,647.505,641.118,653.949,Rate is stable
90732,696.877,686.084,707.832,Rate is stable
90740,585.024,574.62,595.633,Rate is stable
90744,434.643,428.672,440.689,Rate is stable
90745,408.628,403.47,413.846,Rate is stable
90746,464.547,456.684,472.534,Rate is stable
90755,738.397,719.021,758.329,Rate is stable
90802,659.763,651.668,667.959,Rate is stable
90803,493.292,485.975,500.755,Rate is stable
90804,847.527,835.806,859.44,Rate is stable
90805,536.758,531.427,542.147,Rate is stable
90806,684.077,675.663,692.583,Rate is stable
90807,568.713,560.853,576.67,Rate is stable
90808,528.727,521.719,535.817,Rate is stable
90810,410.729,403.852,417.715,Rate is stable
90813,591.542,584.189,598.989,Rate is stable
90814,593.374,582.12,604.84,Rate is stable
90815,543.941,536.785,551.186,Rate is stable
90822,89.973,50.03,153.999,Rate is stable
91001,374.538,368.623,380.537,Rate is stable
91006,274.176,268.59,279.873,Rate is stable
91007,249.419,244.399,254.54,Rate is stable
91008,241.446,209.348,280.453,Rate is stable
91010,449.949,442.079,457.946,Rate is stable
91011,293.05,285.369,300.939,Rate is stable
91016,486.717,480.117,493.397,Rate is stable
91020,422.734,409.079,436.925,Rate is stable
91024,334.104,323.305,345.272,Rate is stable
91030,361.665,354.554,368.913,Rate is stable
91040,532.34,522.547,542.325,Rate is stable
91042,453.195,445.476,461.037,Rate is stable
91101,397.561,388.787,406.556,Rate is stable
91103,511.04,502.768,519.427,Rate is stable
91104,369.667,363.794,375.625,Rate is stable
91105,493.82,481.32,506.682,Rate is stable
91106,317.984,310.78,325.364,Rate is stable
91107,375.552,369.289,381.923,Rate is stable
91108,210.874,202.47,219.721,Rate is stable
91201,322.527,315.667,329.541,Rate is stable
91202,261.05,254.891,267.368,Rate is stable
91203,295.168,286.592,304.035,Rate is stable
91204,351.375,342.973,359.965,Rate is stable
91205,333.558,328.083,339.12,Rate is stable
91206,295.221,289.742,300.808,Rate is stable
91207,284.692,274.253,295.494,Rate is stable
91208,299.531,291.479,307.783,Rate is stable
91214,346.31,339.912,352.814,Rate is stable
91301,518.9,509.716,528.239,Rate is stable
91302,485.361,476.11,494.801,Rate is stable
91303,424.42,415.56,433.508,Rate is stable
91304,493.159,487.265,499.113,Rate is stable
91306,391.55,386.015,397.155,Rate is stable
91307,544.187,535.492,553.012,Rate is stable
91311,530.409,523.581,537.328,Rate is stable
91316,475.151,467.61,482.803,Rate is stable
91321,605.338,596.947,613.828,Rate is stable
91324,443.945,436.351,451.657,Rate is stable
91325,468.638,461.027,476.362,Rate is stable
91326,334.86,329.087,340.73,Rate is stable
91330,155.775,104.235,230.065,Rate is stable
91331,357.918,354.03,361.843,Rate is stable
91335,449.331,444.727,453.976,Rate is stable
91340,416.525,409.221,423.952,Rate is stable
91342,487.211,482.667,491.792,Rate is stable
91343,390.659,385.621,395.752,Rate is stable
91344,470.405,464.801,476.069,Rate is stable
91345,500.762,490.864,510.837,Rate is stable
91350,663.248,654.885,671.716,Rate is stable
91351,783.051,773.455,792.757,Rate is stable
91352,370.687,365.039,376.409,Rate is stable
91354,478.253,469.965,486.683,Rate is stable
91355,629.939,621.439,638.535,Rate is stable
91356,510.434,502.565,518.417,Rate is stable
91361,514.446,504.395,524.685,Rate is stable
91362,478.459,471.069,485.958,Rate is stable
91364,503.154,494.987,511.445,Rate is stable
91367,445.65,439.51,451.867,Rate is stable
91381,446.842,434.869,459.273,Rate is stable
91384,521.898,512.746,531.232,Rate is stable
91387,503.423,496.518,510.434,Rate is stable
91390,455.346,445.754,465.134,Rate is stable
91401,441.319,434.646,448.092,Rate is stable
91402,334.655,330.046,339.321,Rate is stable
91403,461.768,453.752,469.947,Rate is stable
91405,483.715,477.444,490.059,Rate is stable
91406,398.767,393.422,404.175,Rate is stable
91411,523.612,513.849,533.556,Rate is stable
91423,487.505,480.204,494.926,Rate is stable
91436,478.799,467.155,490.708,Rate is stable
91501,353.646,345.729,361.731,Rate is stable
91502,419.482,407.67,431.664,Rate is stable
91504,397.192,389.86,404.647,Rate is stable
91505,562.666,554.609,570.834,Rate is stable
91506,602.848,592.078,613.806,Rate is stable
91601,433.246,426.186,440.422,Rate is stable
91602,470.361,459.373,481.676,Rate is stable
91604,496.912,489.217,504.731,Rate is stable
91605,346.39,341.333,351.514,Rate is stable
91606,425.357,419.276,431.512,Rate is stable
91607,494.433,486.775,502.207,Rate is stable
91702,418.876,413.269,424.553,Rate is stable
91706,289.01,285.057,293.013,Rate is stable
91711,429.226,422.627,435.925,Rate is stable
91722,436.868,429.86,443.981,Rate is stable
91723,608.217,596.347,620.322,Rate is stable
91724,475.404,467.107,483.843,Rate is stable
91731,260.625,254.929,266.428,Rate is stable
91732,295.977,291.654,300.354,Rate is stable
91733,230.516,225.993,235.113,Rate is stable
91740,622.886,613.759,632.136,Rate is stable
91741,629.044,619.617,638.598,Rate is stable
91744,322.624,318.671,326.62,Rate is stable
91745,296.949,292.543,301.414,Rate is stable
91746,262.59,256.855,268.432,Rate is stable
91748,216.002,211.952,220.125,Rate is stable
91750,572.222,564.32,580.222,Rate is stable
91754,199.888,195.323,204.557,Rate is stable
91755,129.235,125.271,133.333,Rate is stable
91766,362.184,357.274,367.156,Rate is stable
91767,506.636,500.213,513.126,Rate is stable
91768,495.434,487.469,503.513,Rate is stable
91770,210.456,206.991,213.975,Rate is stable
91773,555.412,547.751,563.166,Rate is stable
91775,239.482,233.753,245.343,Rate is stable
91776,233.712,229.087,238.426,Rate is stable
91780,291.79,286.416,297.254,Rate is stable
91789,208.588,204.396,212.861,Rate is stable
91790,360.695,355.266,366.195,Rate is stable
91791,392.593,385.999,399.282,Rate is stable
91792,303.144,296.758,309.656,Rate is stable
91801,237.37,233.459,241.347,Rate is stable
91803,227.335,222.148,232.636,Rate is stable
92301,846.126,834.415,858,Rate is stable
93243,2594.161,2365.619,2842.94,Rate is stable
93510,799.007,775.99,822.889,Rate is stable
93532,988.363,944.256,1034.41,Rate is stable
93534,1341.607,1329.832,1353.47,Rate is stable
93535,1008.093,1000.173,1016.071,Rate is stable
93536,677.232,671.055,683.462,Rate is stable
93543,740.315,724.396,756.571,Rate is stable
93544,962.809,891.279,1043.694,Rate is stable
93550,763.84,756.895,770.844,Rate is stable
93551,693.02,685.755,700.351,Rate is stable
93552,600.51,591.764,609.392,Rate is stable
93553,1069.94,1008.597,1137.389,Rate is stable
93560,819.237,805.638,833.106,Rate is stable
93563,315.015,223.347,453.207,Rate is stable
93591,798.57,775.415,822.555,Rate is stable
California,596.7,596.46,596.948,Rate is stable
Los Angeles,430.758,430.35,431.168,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
