Los Angeles  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
90001,183.895,180.017,187.846,Rate is stable
90002,267.668,262.715,272.706,Rate is stable
90003,251.095,246.975,255.278,Rate is stable
90004,131.677,128.774,134.638,Rate is stable
90005,114.035,110.709,117.454,Rate is stable
90006,128.714,125.822,131.664,Rate is stable
90007,167.103,162.211,172.134,Rate is stable
90008,307.573,301.693,313.563,Rate is stable
90010,280.619,255.717,308.258,Rate is stable
90011,147.187,144.543,149.878,Rate is stable
90012,132.501,127.643,137.563,Rate is stable
90013,836.97,781.774,910.795,Rate is stable
90014,1134.054,1049.039,1224.591,Rate is stable
90015,177.638,171.248,184.256,Rate is stable
90016,253.911,249.412,258.483,Rate is stable
90017,162.784,157.534,168.187,Rate is stable
90018,206.382,202.595,210.235,Rate is stable
90019,181.054,177.861,184.305,Rate is stable
90020,110.966,107.638,114.403,Rate is stable
90021,505.91,470.875,544.079,Rate is stable
90022,157.835,154.682,161.044,Rate is stable
90023,159.891,155.935,163.932,Rate is stable
90024,195.197,189.644,200.924,Rate is stable
90025,208.387,203.767,213.125,Rate is stable
90026,138.792,135.893,141.749,Rate is stable
90027,232.641,228.179,237.227,Rate is stable
90028,263.607,257.378,270.033,Rate is stable
90029,212.429,207.718,217.247,Rate is stable
90031,130.1,126.607,133.675,Rate is stable
90032,159.13,155.54,162.791,Rate is stable
90033,143.69,140.263,147.187,Rate is stable
90034,193.459,189.532,197.47,Rate is stable
90035,241.819,236.197,247.581,Rate is stable
90036,280.634,274.985,286.399,Rate is stable
90037,191.942,188.442,195.498,Rate is stable
90038,190.504,185.105,196.06,Rate is stable
90039,181.504,176.816,186.337,Rate is stable
90040,226.643,218.514,235.08,Rate is stable
90041,158.205,153.86,162.669,Rate is stable
90042,169.342,166.075,172.668,Rate is stable
90043,263.686,259.261,268.185,Rate is stable
90044,296.008,292.417,299.636,Rate is stable
90045,212.521,207.826,217.32,Rate is stable
90046,271.851,266.689,277.192,Rate is stable
90047,293.833,289.293,298.447,Rate is stable
90048,336.696,328.595,345.1,Rate is stable
90049,200.447,196.024,204.961,Rate is stable
90056,241.014,229.246,253.611,Rate is stable
90057,164.288,160.582,168.067,Rate is stable
90058,326.891,296.576,362.698,Rate is stable
90059,299.65,293.758,305.651,Rate is stable
90061,273.453,266.962,280.083,Rate is stable
90062,213.908,209.208,218.699,Rate is stable
90063,134.98,131.749,138.277,Rate is stable
90064,197.391,192.314,202.613,Rate is stable
90065,147.058,143.655,150.537,Rate is stable
90066,186.602,183.177,190.094,Rate is stable
90067,408.722,379.408,473.939,Rate is stable
90068,232.967,225.949,240.232,Rate is stable
90069,385.484,373.749,397.835,Rate is stable
90071,514.43,392.773,662.28,Rate is stable
90073,74.992,57.796,136.496,Rate is stable
90077,242.088,231.721,252.953,Rate is stable
90089,306.116,179.283,496.468,Rate is stable
90094,345.572,326.809,366.359,Rate is stable
90095,0,,,Not applicable
90201,154.819,152.145,157.534,Rate is stable
90210,336.271,327.36,345.409,Rate is stable
90211,267.351,255.858,279.33,Rate is stable
90212,265.067,255.554,274.916,Rate is stable
90220,301.261,296.414,306.175,Rate is stable
90221,237.274,232.859,241.768,Rate is stable
90222,279.975,273.846,286.221,Rate is stable
90230,182.116,177.734,186.611,Rate is stable
90232,201.151,193.957,208.634,Rate is stable
90240,221.665,215.983,227.475,Rate is stable
90241,297.444,292.267,302.697,Rate is stable
90242,239.878,234.997,244.853,Rate is stable
90245,222.276,215.273,229.509,Rate is stable
90247,219.828,215.782,223.941,Rate is stable
90248,199.172,191.23,207.44,Rate is stable
90249,244.088,238.453,249.843,Rate is stable
90250,244.158,240.874,247.481,Rate is stable
90254,228.172,221.294,235.298,Rate is stable
90255,141.35,138.52,144.229,Rate is stable
90260,223.124,218.118,228.226,Rate is stable
90262,210.505,206.656,214.42,Rate is stable
90263,287.041,128.98,553.475,Rate may be unstable
90265,221.196,214.272,228.405,Rate is stable
90266,208.686,203.542,213.994,Rate is stable
90270,118.149,113.815,122.625,Rate is stable
90272,224.035,217.302,231.004,Rate is stable
90274,203.34,197.23,209.659,Rate is stable
90275,181.014,176.828,185.318,Rate is stable
90277,252.098,247.115,257.197,Rate is stable
90278,250.94,246.069,255.916,Rate is stable
90280,168.133,165.405,170.9,Rate is stable
90290,293.683,276.474,311.994,Rate is stable
90291,198.533,193.218,204.032,Rate is stable
90292,300.196,293.091,307.644,Rate is stable
90293,245.725,236.347,255.562,Rate is stable
90301,231.553,226.806,236.386,Rate is stable
90302,257.099,250.945,263.417,Rate is stable
90303,215.034,209.322,220.886,Rate is stable
90304,178.574,172.584,184.808,Rate is stable
90305,244.469,237.16,252.066,Rate is stable
90401,379.397,361.202,400.316,Rate is stable
90402,248.137,238.668,258.057,Rate is stable
90403,211.243,205.661,217.03,Rate is stable
90404,350.67,343.215,358.292,Rate is stable
