Madera  - by Zip Code 2014,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93601,1692.75,1569.399,1825.085,Rate is stable
93604,2147.055,1948.201,2364.108,Rate is stable
93610,739.506,727.778,751.441,Rate is stable
93614,986.875,966.93,1007.231,Rate is stable
93622,513.374,495.881,531.476,Rate is stable
93626,790.393,745.577,838.056,Rate is stable
93636,558.768,544.574,573.296,Rate is stable
93637,694.653,685.943,703.456,Rate is stable
93638,668.021,659.746,676.391,Rate is stable
93643,1042.888,1002.857,1084.475,Rate is stable
93644,1422.895,1391.69,1454.791,Rate is stable
93645,693.052,588.348,812.177,Rate is stable
93653,956.488,810.183,1129.013,Rate is stable
93669,456.138,380.126,550.164,Rate is stable
93720,705.657,697.91,713.48,Rate is stable
California,582.565,582.325,582.802,Rate is stable
Madera,710.595,706.32,714.895,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
