Marin  - by Zip Code 2020,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94901,248.034,243.591,252.553,Rate is stable
94903,332.772,327,338.658,Rate is stable
94904,259.442,250.316,269.053,Rate is stable
94920,240.186,228.937,252.144,Rate is stable
94924,323.036,280.092,401.364,Rate is stable
94925,263.148,247.121,281.012,Rate is stable
94929,224.902,173.579,290.506,Rate is stable
94930,256.317,246.49,266.538,Rate is stable
94933,442.775,402.101,488.362,Rate is stable
94937,666.162,573.22,773.082,Rate is stable
94938,269.921,225.548,327.147,Rate is stable
94939,270.96,257.697,284.989,Rate is stable
94940,102.887,57.607,172.645,Rate is stable
94941,234.499,229.144,240.017,Rate is stable
94945,261.36,254.594,268.332,Rate is stable
94946,235.067,180.58,325.674,Rate is stable
94947,363.847,356.754,371.077,Rate is stable
94949,260.207,253.632,266.981,Rate is stable
94952,399.059,393.078,405.134,Rate is stable
94956,344.345,302.658,398.609,Rate is stable
94960,262.344,254.413,270.611,Rate is stable
94963,90.538,75.303,119.33,Rate is stable
94964,53.75,45.106,65.745,Rate is stable
94965,266.353,256.086,277.478,Rate is stable
94970,222.362,190.529,276.39,Rate is stable
94971,125.764,83.665,188.739,Rate is stable
94973,442.007,339.499,593.682,Rate is stable
California,333.302,333.129,333.475,Rate is stable
Marin,267.317,265.489,269.156,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
