Mariposa  - by Zip Code 2012,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93601,1527.33,1412.306,1651.198,Rate is stable
93623,388.811,271.442,542.019,Rate is stable
93653,886.616,766.973,1029.515,Rate is stable
95306,1539.039,1379.133,1717.609,Rate is stable
95311,2633.41,2472.01,2806.808,Rate is stable
95318,398.224,322.292,491.69,Rate is stable
95321,1398.017,1342.266,1456.224,Rate is stable
95325,35.405,15.574,69.42,Rate may be unstable
95329,1015.651,975.387,1057.534,Rate is stable
95338,1038.835,1017.497,1060.617,Rate is stable
95345,3606.328,2822.055,4566.384,Rate is stable
95369,837.882,772.623,909.06,Rate is stable
95389,423.306,367.242,496.059,Rate is stable
California,596.7,596.46,596.948,Rate is stable
Mariposa,868.348,854.588,882.32,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
