Mendocino  - by Zip Code 2022,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95410,295.169,260.227,346.292,Rate is stable
95415,151.365,131.982,176.6,Rate is stable
95417,181.227,143.586,227.997,Rate is stable
95420,770.901,460.001,1270.495,Rate is stable
95427,281.021,224.983,351.969,Rate is stable
95428,452.356,426.325,479.981,Rate is stable
95429,59.787,37.578,99.55,Rate is stable
95432,340.962,250.895,469.88,Rate is stable
95437,396.676,387.672,405.916,Rate is stable
95445,664.312,489.407,899.173,Rate is stable
95449,505.283,456.767,558.688,Rate is stable
95454,528.676,494.833,565.475,Rate is stable
95456,239.522,204.545,288.267,Rate is stable
95459,277.681,236.967,344.274,Rate is stable
95460,336.915,311.084,369.597,Rate is stable
95466,255.878,223.24,293.18,Rate is stable
95468,453.752,414.369,498.232,Rate is stable
95469,430.287,383.033,484.451,Rate is stable
95470,460.688,439.399,483.118,Rate is stable
95482,428.777,422.284,435.364,Rate is stable
95488,68.494,46.71,99.935,Rate is stable
95490,574.15,560.937,587.678,Rate is stable
95494,140.913,97.509,208.133,Rate is stable
95585,209.379,164.47,271.606,Rate is stable
95587,92.095,75,111.948,Rate is stable
95589,1490.398,982.187,2203.756,Rate is stable
California,291.048,290.889,291.206,Rate is stable
Mendocino,434.963,430.946,439.014,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
