Merced  - by Zip Code 2011,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93610,633.84,622.883,645.007,Rate is stable
93620,768.026,749.402,787.044,Rate is stable
93622,438.891,423.219,455.153,Rate is stable
93635,898.538,888.579,908.6,Rate is stable
95301,804.918,795.568,814.359,Rate is stable
95303,823.405,739.441,915.598,Rate is stable
95315,702.226,681.255,724.233,Rate is stable
95316,1009.407,983.819,1035.554,Rate is stable
95317,607.862,544.626,677.808,Rate is stable
95322,712.701,693.78,732.128,Rate is stable
95324,835.224,814.043,856.867,Rate is stable
95333,549.506,520.02,580.417,Rate is stable
95334,446.884,435.819,458.178,Rate is stable
95340,1290.91,1278.614,1303.308,Rate is stable
95341,278.973,272.41,285.682,Rate is stable
95348,596.826,587.828,605.941,Rate is stable
95360,936.25,915.437,957.67,Rate is stable
95365,374.423,353.907,396.005,Rate is stable
95369,746.457,686.021,812.74,Rate is stable
95374,1014.166,961,1070.115,Rate is stable
95380,1130.288,1119.655,1141.007,Rate is stable
95388,664.282,649.047,679.822,Rate is stable
California,588.555,588.31,588.8,Rate is stable
Merced,767.858,764.255,771.48,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
