Merced  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93610,351.182,342.949,359.606,Rate is stable
93620,474.547,458.04,491.779,Rate is stable
93622,238.742,226.964,251.078,Rate is stable
93635,530.307,522.73,537.979,Rate is stable
95301,402.273,396.132,408.493,Rate is stable
95303,270.018,232.161,313.965,Rate is stable
95315,335.51,324.832,346.552,Rate is stable
95316,457.561,441.169,474.753,Rate is stable
95317,119.224,85.079,174.349,Rate is stable
95322,426.469,412.778,440.58,Rate is stable
95324,414.044,399.856,428.715,Rate is stable
95333,339.564,315.43,365.603,Rate is stable
95334,285.835,277.408,294.478,Rate is stable
95340,502.075,494.397,509.864,Rate is stable
95341,340.119,332.67,347.754,Rate is stable
95348,522.757,514.271,531.373,Rate is stable
95360,427.844,416.021,439.969,Rate is stable
95365,304.621,286.111,324.164,Rate is stable
95369,360.954,317.242,414.203,Rate is stable
95374,492.264,455.97,531.847,Rate is stable
95380,502.732,496.034,509.515,Rate is stable
95388,367.764,356.956,378.848,Rate is stable
California,295.981,295.818,296.145,Rate is stable
Merced,406.074,403.648,408.512,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
