Modoc  - by Zip Code 2015,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
96006,1646.444,1454.947,1863.993,Rate is stable
96015,465.075,386.037,558.828,Rate is stable
96054,1519.945,1301.875,1773.618,Rate is stable
96056,812.034,768.312,859.749,Rate is stable
96101,1341.151,1289.383,1395.685,Rate is stable
96104,1485.514,1328.719,1680.504,Rate is stable
96108,464.291,297.086,693.629,Rate is stable
96112,1586.555,1408.597,1783.754,Rate is stable
96115,110.885,79.512,181.148,Rate is stable
96116,536.755,419.771,679.193,Rate is stable
California,587.05,586.812,587.288,Rate is stable
Modoc,916.692,897.005,936.778,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
