Mono  - by Zip Code 2019,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93512,507.035,409.948,638.213,Rate is stable
93514,411.454,401.517,421.621,Rate is stable
93517,773.368,451.618,1283.555,Rate is stable
93529,473.918,405.13,552.867,Rate is stable
93541,263.148,189.99,360.624,Rate is stable
93546,362.319,339.19,388.08,Rate is stable
96107,183.045,140.337,246.581,Rate is stable
96133,0,,,Not applicable
California,400.571,400.379,400.762,Rate is stable
Mono,233.99,226.337,241.879,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
