Monterey  - by Zip Code 2010,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93426,633.01,593.115,675.798,Rate is stable
93450,434.144,381.05,495.069,Rate is stable
93451,677.007,650.158,704.853,Rate is stable
93901,954.209,942.495,966.047,Rate is stable
93905,617.052,608.745,625.47,Rate is stable
93906,719.136,711.726,726.614,Rate is stable
93907,574.871,564.6,585.305,Rate is stable
93908,487.298,475.006,499.897,Rate is stable
93920,465.993,430.03,504.921,Rate is stable
93923,527.396,511.297,544.029,Rate is stable
93924,793.876,769.769,818.691,Rate is stable
93925,425.112,390.292,463.544,Rate is stable
93926,634.296,614.487,654.707,Rate is stable
93927,586.609,572.37,601.183,Rate is stable
93930,474.598,462.111,487.397,Rate is stable
93932,571.961,490.851,684.409,Rate is stable
93933,816.348,804.167,828.695,Rate is stable
93940,725.423,716.28,734.682,Rate is stable
93943,2027.259,1546.188,2656.187,Rate is stable
93950,739.418,725.724,753.353,Rate is stable
93953,590.244,561.842,620.159,Rate is stable
93955,774.159,764.03,784.404,Rate is stable
93960,370.786,361.548,380.268,Rate is stable
95004,594.157,569.687,619.584,Rate is stable
95012,613.65,596.561,631.235,Rate is stable
95039,603.611,563.333,647.431,Rate is stable
95076,729.034,722.84,735.274,Rate is stable
California,606.775,606.522,607.028,Rate is stable
Monterey,629.81,627.325,632.302,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
