Monterey  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93426,345.273,315.242,382.841,Rate is stable
93450,423.599,346.131,521.112,Rate is stable
93451,436.46,415.179,459.031,Rate is stable
93901,574.803,566.064,583.67,Rate is stable
93905,201.298,196.699,206,Rate is stable
93906,251.054,246.946,255.22,Rate is stable
93907,250.706,244.675,256.871,Rate is stable
93908,221.795,213.316,230.723,Rate is stable
93920,166.498,144.957,191.867,Rate is stable
93923,219.493,209.201,230.445,Rate is stable
93924,334.042,317.53,352.118,Rate is stable
93925,296.392,242.039,369.523,Rate is stable
93926,238.373,226.191,251.15,Rate is stable
93927,283.571,272.843,294.823,Rate is stable
93930,282.181,272.204,292.523,Rate is stable
93932,317.968,267.405,378.633,Rate is stable
93933,301.614,294.753,308.619,Rate is stable
93940,329.919,324.031,335.923,Rate is stable
93943,0,,,Not applicable
93950,258.812,251.283,266.581,Rate is stable
93953,274.174,250.575,301.029,Rate is stable
93955,262.848,257.456,268.337,Rate is stable
93960,224.279,217.198,231.604,Rate is stable
95004,357.424,331.412,386.215,Rate is stable
95012,301.319,287.834,315.409,Rate is stable
95039,443.495,389.324,504.449,Rate is stable
95076,270.261,266.754,273.808,Rate is stable
California,295.981,295.818,296.145,Rate is stable
Monterey,262.838,261.353,264.331,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
