Napa  - by Zip Code 2021,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94503,352.472,344.457,360.649,Rate is stable
94508,269.437,250.798,289.503,Rate is stable
94515,292.731,281.109,305.008,Rate is stable
94558,377.949,373.696,382.252,Rate is stable
94559,346.077,339.437,352.832,Rate is stable
94567,460.281,400.339,528.958,Rate is stable
94574,248.537,237.971,260.207,Rate is stable
94576,403.084,289.074,571.655,Rate is stable
94599,392.9,367.347,425.475,Rate is stable
95476,369.702,363.845,375.654,Rate is stable
California,321.714,321.546,321.882,Rate is stable
Napa,358.938,356.009,361.889,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
