Nevada  - by Zip Code 2015,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95602,974.155,959.059,989.494,Rate is stable
95728,425.419,360.64,500.951,Rate is stable
95945,1128.205,1115.05,1141.509,Rate is stable
95946,803.663,783.67,824.154,Rate is stable
95949,778,764.481,791.751,Rate is stable
95959,714.764,701.794,727.981,Rate is stable
95960,1836.17,1712.426,1978.599,Rate is stable
95975,1280.967,1172.173,1400.733,Rate is stable
95977,1280.3,1187.372,1380.7,Rate is stable
96111,69.517,39.367,117.812,Rate is stable
96161,410.439,397.974,423.39,Rate is stable
California,587.05,586.812,587.288,Rate is stable
Nevada,786.01,780.518,791.535,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
