Nevada  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95602,421.047,411.813,430.583,Rate is stable
95724,0,,,Not applicable
95728,162.431,122.002,214.098,Rate is stable
95945,488.654,480.307,497.151,Rate is stable
95946,514.487,497.567,532.162,Rate is stable
95949,389.568,380.628,398.72,Rate is stable
95959,334.855,325.861,344.105,Rate is stable
95960,2027.329,1833.523,2238.792,Rate is stable
95975,378.391,345.901,414.134,Rate is stable
95977,906.211,804.531,1020.162,Rate is stable
96111,114.362,68.767,189.41,Rate is stable
96161,221.836,214.69,229.255,Rate is stable
California,295.981,295.818,296.145,Rate is stable
Nevada,383.293,379.422,387.202,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
