Orange  - by Zip Code 2022,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
90620,281.333,276.717,286.021,Rate is stable
90621,208.784,204.088,213.572,Rate is stable
90623,173.661,167.668,179.878,Rate is stable
90630,236.576,232.658,240.558,Rate is stable
90631,259.467,255.844,263.134,Rate is stable
90680,264.143,258.563,269.826,Rate is stable
90716,196.008,188.502,203.757,Rate is stable
90720,246.373,240.612,252.285,Rate is stable
90740,286.345,279.488,293.438,Rate is stable
90742,622.724,550.613,710.907,Rate is stable
90743,256.182,199.33,327.767,Rate is stable
92530,449.432,443.732,455.193,Rate is stable
92602,315.236,303.866,327.101,Rate is stable
92603,180.667,174.927,186.603,Rate is stable
92604,201.695,196.833,206.668,Rate is stable
92606,228.964,222.97,235.095,Rate is stable
92610,244.305,233.64,255.491,Rate is stable
92612,273.714,266.866,280.73,Rate is stable
92614,242.369,236.174,248.725,Rate is stable
92617,276.275,251.622,303.4,Rate is stable
92618,226.746,222.005,231.588,Rate is stable
92620,217.571,213.418,221.798,Rate is stable
92624,563.392,541.002,587.043,Rate is stable
92625,176.616,169.212,184.438,Rate is stable
92626,283.656,279.141,288.237,Rate is stable
92627,287.054,282.843,291.319,Rate is stable
92629,334.181,327.092,341.416,Rate is stable
92630,327.634,323.404,331.914,Rate is stable
92637,980.378,914.519,1059.373,Rate is stable
92646,314.452,310.285,318.678,Rate is stable
92647,337.358,332.986,341.78,Rate is stable
92648,349.472,344.562,354.453,Rate is stable
92649,324.215,318.347,330.181,Rate is stable
92651,290.527,283.517,297.742,Rate is stable
92653,339.926,333.998,345.958,Rate is stable
92655,240.743,231.07,250.829,Rate is stable
92656,302.1,297.276,306.992,Rate is stable
92657,246.717,235.605,258.45,Rate is stable
92660,247.941,243.057,252.924,Rate is stable
92661,264.071,246.608,283.517,Rate is stable
92662,496.242,430.255,570.939,Rate is stable
92663,374.224,365.976,382.696,Rate is stable
92672,309.733,304.241,315.325,Rate is stable
92673,285.508,279.728,291.408,Rate is stable
92675,252.852,248.376,257.41,Rate is stable
92676,416.163,387.94,446.671,Rate is stable
92677,281.895,278.11,285.732,Rate is stable
92679,288.835,282.774,295.024,Rate is stable
92683,213.888,211.148,216.661,Rate is stable
92688,313.806,308.365,319.349,Rate is stable
92691,318.486,313.966,323.065,Rate is stable
92692,273.684,269.383,278.053,Rate is stable
92694,541.24,528.682,554.087,Rate is stable
92701,211.499,207.109,215.969,Rate is stable
92703,173.321,170.147,176.544,Rate is stable
92704,174.466,171.657,177.313,Rate is stable
92705,260.258,256.035,264.544,Rate is stable
92706,254.344,249.254,259.524,Rate is stable
92707,215.801,211.981,219.685,Rate is stable
92708,282.722,278.83,286.667,Rate is stable
92780,243.816,239.861,247.828,Rate is stable
92782,246.254,239.772,252.895,Rate is stable
92801,261.078,257.189,265.016,Rate is stable
92802,249.821,245.191,254.527,Rate is stable
92804,286.854,283.5,290.244,Rate is stable
92805,270.004,265.604,274.483,Rate is stable
92806,315.004,309.5,320.596,Rate is stable
92807,288.047,282.92,293.266,Rate is stable
92808,263.508,256.006,271.272,Rate is stable
92821,269.502,264.764,274.317,Rate is stable
92823,283.574,268.48,299.573,Rate is stable
92831,296.482,290.492,302.578,Rate is stable
92832,301.599,294.767,308.568,Rate is stable
92833,220.248,216.41,224.145,Rate is stable
92835,301.16,295.076,307.378,Rate is stable
92840,232.769,228.896,236.7,Rate is stable
92841,216.276,211.658,220.988,Rate is stable
92843,190.821,187.135,194.573,Rate is stable
92844,175.12,169.971,180.425,Rate is stable
92845,295.514,287.667,303.564,Rate is stable
92861,226.958,214.825,239.996,Rate is stable
92865,287.21,280.156,294.426,Rate is stable
92866,302.505,294.007,311.238,Rate is stable
92867,304.924,299.939,309.985,Rate is stable
92868,390.56,382.807,398.452,Rate is stable
92869,310.439,305.091,315.877,Rate is stable
92870,279.932,275.734,284.187,Rate is stable
92886,270.286,266.23,274.406,Rate is stable
92887,284.25,277.096,291.597,Rate is stable
California,291.048,290.889,291.206,Rate is stable
Orange,262.074,261.545,262.604,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
