Placer  - by Zip Code 2016,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95602,849.84,835.904,864.016,Rate is stable
95603,939.295,928.406,950.305,Rate is stable
95626,952.284,926.647,978.613,Rate is stable
95631,1120.754,1090.282,1152.069,Rate is stable
95648,721.268,713.796,728.812,Rate is stable
95650,735.469,720.098,751.213,Rate is stable
95658,704.052,682.674,726.186,Rate is stable
95661,833.391,823.715,843.169,Rate is stable
95663,711.774,673.795,752.161,Rate is stable
95668,803.048,736.046,875.803,Rate is stable
95677,772.31,761.246,783.531,Rate is stable
95678,763.526,755.001,772.145,Rate is stable
95681,1066.428,1000.7,1136.082,Rate is stable
95701,884.181,806.799,970.736,Rate is stable
95703,2201.039,2052.867,2363.144,Rate is stable
95713,774.098,757.022,791.529,Rate is stable
95714,928.403,823.972,1050.78,Rate is stable
95715,246.184,184.112,357.56,Rate is stable
95717,477.527,398.961,575.353,Rate is stable
95722,712.303,685.783,740.091,Rate is stable
95746,542.152,531.231,553.337,Rate is stable
95747,582.603,576.755,588.503,Rate is stable
95765,594.621,586.387,602.957,Rate is stable
96140,749.669,630.306,892.772,Rate is stable
96141,903.116,693.215,1201.829,Rate is stable
96142,1404.292,1198.539,1645.579,Rate is stable
96143,556.238,525.514,589.573,Rate is stable
96145,705.61,664.484,750.325,Rate is stable
96146,561.692,502.338,629.009,Rate is stable
96148,384.36,329.333,449.475,Rate is stable
California,562.338,562.108,562.57,Rate is stable
Placer,689.548,687.018,692.082,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
