Riverside  - by Zip Code 2011,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
91752,492.001,483.562,500.589,Rate is stable
92028,494.8,488.592,501.077,Rate is stable
92059,1189.934,1112.821,1273.159,Rate is stable
92201,518.912,513.235,524.64,Rate is stable
92203,340.614,333.817,347.527,Rate is stable
92210,847.276,745.783,972.639,Rate is stable
92211,619.102,606.205,632.293,Rate is stable
92220,831.245,820.843,841.767,Rate is stable
92223,596.045,589.162,602.994,Rate is stable
92225,470.783,461.807,479.915,Rate is stable
92230,1042.118,990.139,1096.566,Rate is stable
92234,553.614,547.382,559.905,Rate is stable
92236,350.626,343.268,358.139,Rate is stable
92239,1271.774,1058.784,1525.147,Rate is stable
92240,815.69,805.855,825.628,Rate is stable
92241,422.257,407.773,437.222,Rate is stable
92253,523.869,516.492,531.341,Rate is stable
92254,277.655,264.319,291.691,Rate is stable
92260,661.501,652.908,670.199,Rate is stable
92262,850.233,839.56,861.04,Rate is stable
92264,587.441,575.923,599.222,Rate is stable
92270,663.25,645.419,681.655,Rate is stable
92274,331.492,321.757,341.58,Rate is stable
92276,554.611,536.393,573.42,Rate is stable
92282,960.754,886.38,1043.507,Rate is stable
92320,736.077,717.412,755.32,Rate is stable
92324,652.756,645.503,660.08,Rate is stable
92337,367.925,360.867,375.152,Rate is stable
92373,722.762,713.742,731.884,Rate is stable
92399,861.331,853.448,869.278,Rate is stable
92501,618.837,607.535,630.356,Rate is stable
92503,525.797,520.784,530.855,Rate is stable
92504,609.369,602.861,615.937,Rate is stable
92505,682.97,675.228,690.79,Rate is stable
92506,566.051,559.344,572.829,Rate is stable
92507,574.736,567.181,582.38,Rate is stable
92508,459.335,452.036,466.763,Rate is stable
92509,532.403,526.93,537.928,Rate is stable
92518,1615.546,1481.945,1761.297,Rate is stable
92530,778.347,769.704,787.1,Rate is stable
92532,407.667,397.389,418.318,Rate is stable
92536,1138.708,1092.719,1186.585,Rate is stable
92539,1364.89,1307.649,1424.757,Rate is stable
92543,1091.204,1080.013,1102.501,Rate is stable
92544,919.666,910.921,928.483,Rate is stable
92545,848.929,839.534,858.417,Rate is stable
92548,612.207,594.222,630.73,Rate is stable
92549,1290.831,1226.35,1360.247,Rate is stable
92551,452.051,442.798,461.639,Rate is stable
92553,615.02,608.641,621.467,Rate is stable
92555,436.992,429.966,444.146,Rate is stable
92557,553.27,546.287,560.347,Rate is stable
92561,668.53,572.272,784.907,Rate is stable
92562,592.348,586.253,598.5,Rate is stable
92563,508.261,502.258,514.332,Rate is stable
92567,544.926,529.442,560.826,Rate is stable
92570,467.422,461.465,473.444,Rate is stable
92571,523.346,515.62,531.202,Rate is stable
92582,536.956,525.071,549.1,Rate is stable
92583,788.644,778.602,798.79,Rate is stable
92584,537.833,531.128,544.606,Rate is stable
92585,513.727,503.124,524.561,Rate is stable
92586,1016.954,998.908,1035.343,Rate is stable
92587,630.44,618.46,642.634,Rate is stable
92590,748.41,719.536,778.408,Rate is stable
92591,596.222,588.377,604.162,Rate is stable
92592,438.244,433.48,443.057,Rate is stable
92595,717.772,708.155,727.504,Rate is stable
92596,483.553,473.982,493.34,Rate is stable
92860,548.916,540.309,557.65,Rate is stable
92879,533.702,526.773,540.718,Rate is stable
92880,331.8,327.045,336.629,Rate is stable
92881,384.177,377.291,391.182,Rate is stable
92882,457.195,451.902,462.551,Rate is stable
92883,421.448,414.248,428.765,Rate is stable
California,588.555,588.31,588.8,Rate is stable
Riverside,606.022,604.982,607.062,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
