Sacramento  - by Zip Code 2012,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94571,979.213,953.749,1005.33,Rate is stable
95608,1015.279,1007.432,1023.18,Rate is stable
95610,1012.835,1003.399,1022.353,Rate is stable
95615,469.131,402.189,547.688,Rate is stable
95621,1040.129,1030.287,1050.051,Rate is stable
95624,657.246,650.86,663.685,Rate is stable
95626,956.899,931.161,983.328,Rate is stable
95628,825.126,816.481,833.855,Rate is stable
95630,565.726,560.375,571.123,Rate is stable
95632,708.356,698.707,718.118,Rate is stable
95638,866.448,819.602,916.878,Rate is stable
95641,1084.686,1036.544,1135.211,Rate is stable
95652,904.511,807.619,1014.171,Rate is stable
95655,578.256,547.218,612.563,Rate is stable
95660,1060.182,1048.708,1071.761,Rate is stable
95662,935.944,925.537,946.449,Rate is stable
95670,825.14,817.578,832.761,Rate is stable
95673,1138.063,1120.285,1156.099,Rate is stable
95678,847.158,838.202,856.208,Rate is stable
95683,607.011,586.88,627.903,Rate is stable
95690,741.989,701.164,785.393,Rate is stable
95693,758.865,734.669,783.917,Rate is stable
95742,518.813,492.645,547.562,Rate is stable
95757,413.076,406.622,419.648,Rate is stable
95758,603.19,597.061,609.373,Rate is stable
95811,687.548,666.018,709.814,Rate is stable
95814,908.873,889.94,928.461,Rate is stable
95815,1083.213,1069.431,1097.171,Rate is stable
95816,1018.75,1002.963,1034.865,Rate is stable
95817,1060.716,1042.161,1079.589,Rate is stable
95818,697.976,686.353,709.784,Rate is stable
95819,556.156,545.407,567.129,Rate is stable
95820,884.69,874.633,894.854,Rate is stable
95821,976.832,966.564,987.194,Rate is stable
95822,827.009,818.537,835.553,Rate is stable
95823,875.137,868.067,882.257,Rate is stable
95824,843.579,832.383,854.913,Rate is stable
95825,1045.573,1033.948,1057.316,Rate is stable
95826,783.158,773.879,792.531,Rate is stable
95827,875.285,862.191,888.553,Rate is stable
95828,692.167,685.396,698.996,Rate is stable
95829,596.411,586.381,606.645,Rate is stable
95830,717.866,617.993,843.052,Rate is stable
95831,586.667,579.439,593.977,Rate is stable
95832,971.335,946.474,997.009,Rate is stable
95833,826.908,816.868,837.084,Rate is stable
95834,702.941,691.833,714.229,Rate is stable
95835,505.625,498.341,513.011,Rate is stable
95837,439.994,377.38,527.629,Rate is stable
95838,1072.826,1061.271,1084.494,Rate is stable
95841,1143.347,1127.984,1158.885,Rate is stable
95842,993.731,982.445,1005.134,Rate is stable
95843,687.524,679.624,695.524,Rate is stable
95864,626.331,616.024,636.794,Rate is stable
California,596.7,596.46,596.948,Rate is stable
Sacramento,818.86,817.385,820.34,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
