Sacramento  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94571,520.536,498.529,543.81,Rate is stable
95608,448.065,442.926,453.266,Rate is stable
95610,472.297,466.004,478.674,Rate is stable
95615,431.989,328.921,566.963,Rate is stable
95621,478.402,472.052,484.833,Rate is stable
95624,345.905,341.537,350.32,Rate is stable
95626,504.767,486.536,523.697,Rate is stable
95628,415.846,409.938,421.84,Rate is stable
95630,309.83,306.167,313.535,Rate is stable
95632,373.963,367.619,380.404,Rate is stable
95638,486.568,452.532,526.73,Rate is stable
95641,830.294,770.394,897.886,Rate is stable
95652,434.252,372.38,505.68,Rate is stable
95655,484.566,457.032,513.992,Rate is stable
95660,435.58,428.431,442.842,Rate is stable
95662,434.692,427.918,441.567,Rate is stable
95670,379.162,374.14,384.247,Rate is stable
95673,494.896,484.114,505.892,Rate is stable
95678,423.908,417.77,430.121,Rate is stable
95683,409.048,389.462,429.835,Rate is stable
95690,350.762,319.014,386.911,Rate is stable
95693,387.861,372.9,403.515,Rate is stable
95742,466.796,453.06,480.946,Rate is stable
95757,265.375,260.864,269.952,Rate is stable
95758,300.507,296.469,304.592,Rate is stable
95811,1018.177,972.651,1066.253,Rate is stable
95814,398.153,385.373,411.866,Rate is stable
95815,728.289,715.091,741.728,Rate is stable
95816,609.505,593.401,626.118,Rate is stable
95817,456.257,443.836,469.042,Rate is stable
95818,277.692,270.646,284.937,Rate is stable
95819,299.844,292.088,307.79,Rate is stable
95820,397.703,391.098,404.406,Rate is stable
95821,411.809,405.091,418.635,Rate is stable
95822,369.595,364.196,375.065,Rate is stable
95823,438.594,433.795,443.442,Rate is stable
95824,357.205,350.098,364.435,Rate is stable
95825,518.178,510.441,526.024,Rate is stable
95826,372.579,366.352,378.897,Rate is stable
95827,444.795,435.803,453.948,Rate is stable
95828,338.922,334.316,343.584,Rate is stable
95829,332.631,325.822,339.582,Rate is stable
95830,578.968,441.383,785.362,Rate is stable
95831,287.167,282.25,292.166,Rate is stable
95832,442.545,417.64,469.369,Rate is stable
95833,449.651,442.276,457.14,Rate is stable
95834,466.123,457.655,474.736,Rate is stable
95835,311.067,305.582,316.661,Rate is stable
95837,242.063,157.021,382.329,Rate is stable
95838,471.94,464.83,479.143,Rate is stable
95841,565.826,555.198,576.644,Rate is stable
95842,471.301,463.609,479.107,Rate is stable
95843,376.632,370.821,382.541,Rate is stable
95864,294.458,288.023,301.035,Rate is stable
California,295.981,295.818,296.145,Rate is stable
Sacramento,379.923,378.993,380.855,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
