San Bernardino  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
91701,345.819,340.399,351.325,Rate is stable
91708,1026.328,980.186,1074.59,Rate is stable
91709,200.871,197.876,203.906,Rate is stable
91710,260.16,256.821,263.536,Rate is stable
91730,342.646,338.298,347.044,Rate is stable
91737,323.955,317.058,330.995,Rate is stable
91739,307.165,300.631,313.848,Rate is stable
91759,429.409,355.761,529.51,Rate is stable
91761,311.106,306.451,315.827,Rate is stable
91762,275.446,271.214,279.734,Rate is stable
91763,284.648,279.173,290.218,Rate is stable
91764,353.235,347.835,358.705,Rate is stable
91765,167.936,164.41,171.534,Rate is stable
91784,263.282,257.679,269.019,Rate is stable
91786,413.091,407.697,418.547,Rate is stable
92242,109.433,93.687,129.831,Rate is stable
92252,551.068,536.683,565.841,Rate is stable
92256,669.73,630.424,714.795,Rate is stable
92267,3.069,0.078,17.101,Rate is unstable interpret with caution
92277,592.053,577.909,606.546,Rate is stable
92278,8.767,4.297,19.436,Rate may be unstable
92280,0,,,Not applicable
92284,661.381,651.962,670.939,Rate is stable
92285,753.38,712.087,798.137,Rate is stable
92301,666.479,655.454,677.715,Rate is stable
92304,0,,,Not applicable
92305,1147.158,932.042,1410.269,Rate is stable
92307,695.885,687.661,704.199,Rate is stable
92308,628.323,620.898,635.831,Rate is stable
92309,375.902,311.884,451.527,Rate is stable
92310,112.373,89.408,141.651,Rate is stable
92311,697.787,687.908,707.805,Rate is stable
92313,547.125,534.177,560.368,Rate is stable
92314,393.598,382.22,405.331,Rate is stable
92315,499.039,480.932,517.948,Rate is stable
92316,268.159,262.076,274.37,Rate is stable
92321,837.124,717.615,973.948,Rate is stable
92322,347.52,295.171,409.585,Rate is stable
92324,347.092,342.168,352.076,Rate is stable
92325,606.341,587.646,625.938,Rate is stable
92327,895.495,777.489,1030.724,Rate is stable
92332,0,,,Not applicable
92335,293.731,290.012,297.488,Rate is stable
92336,327.743,323.695,331.848,Rate is stable
92337,267.582,261.495,273.846,Rate is stable
92338,0,,,Not applicable
92339,270.074,242.188,301.399,Rate is stable
92342,496.656,479.263,514.802,Rate is stable
92344,419.058,409.938,428.379,Rate is stable
92345,563.658,558.494,568.866,Rate is stable
92346,358.756,354.147,363.416,Rate is stable
92347,326.347,273.85,394.863,Rate is stable
92352,303.74,286.983,321.543,Rate is stable
92354,352.558,344.894,360.394,Rate is stable
92356,614.663,594.695,635.299,Rate is stable
92358,288.519,245.639,343.788,Rate is stable
92359,399.213,385.582,413.343,Rate is stable
92363,249.389,234.763,265.062,Rate is stable
92364,60.068,25.933,118.357,Rate may be unstable
92365,477.688,444.257,513.979,Rate is stable
92368,571.774,504.695,650.914,Rate is stable
92371,442.242,426.525,458.743,Rate is stable
92372,554.953,532.884,577.97,Rate is stable
92373,421.343,414.385,428.416,Rate is stable
92374,380.302,374.252,386.44,Rate is stable
92376,334.907,330.81,339.046,Rate is stable
92377,372.208,363.703,380.895,Rate is stable
92382,510.571,489.656,532.505,Rate is stable
92385,652.628,564.061,757.135,Rate is stable
92392,622.333,615.458,629.277,Rate is stable
92394,572.938,564.273,581.721,Rate is stable
92395,660.761,653.2,668.403,Rate is stable
92397,485.204,462.115,509.808,Rate is stable
92399,488.014,482.305,493.787,Rate is stable
92401,830.428,769.718,898.298,Rate is stable
92404,561.834,555.589,568.14,Rate is stable
92405,455.359,445.739,465.217,Rate is stable
92407,383.831,378.042,389.72,Rate is stable
92408,566.992,551.597,582.831,Rate is stable
92410,411.927,405.325,418.617,Rate is stable
92411,343.917,336.252,351.728,Rate is stable
93528,17.17,6.301,37.503,Rate may be unstable
93555,447.462,440.536,454.485,Rate is stable
93562,606.563,564.517,651.66,Rate is stable
California,295.981,295.818,296.145,Rate is stable
San Bernardino,398.955,398.113,399.8,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
