San Diego  - by Zip Code 2016,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
91901,687.704,675.388,700.223,Rate is stable
91902,383.57,375.101,392.228,Rate is stable
91905,1448.153,1367.416,1533.956,Rate is stable
91906,989.968,946.241,1036,Rate is stable
91910,486.019,481.164,490.917,Rate is stable
91911,466.544,461.895,471.233,Rate is stable
91913,326.384,320.765,332.092,Rate is stable
91914,328.696,319.34,338.344,Rate is stable
91915,335.417,326.876,344.24,Rate is stable
91916,1228.627,1134.545,1330.487,Rate is stable
91917,1262.945,1084.62,1472.268,Rate is stable
91932,643.653,633.64,653.801,Rate is stable
91934,408.226,359.349,466.422,Rate is stable
91935,720.125,700.089,740.821,Rate is stable
91941,595.935,587.838,604.131,Rate is stable
91942,765.031,756.439,773.717,Rate is stable
91945,758.964,748.573,769.483,Rate is stable
91950,504.528,498.679,510.437,Rate is stable
91962,877.307,828.17,929.06,Rate is stable
91963,838.651,752.561,933.933,Rate is stable
91977,644.236,637.773,650.756,Rate is stable
91978,619.113,602.211,636.446,Rate is stable
91980,329.247,266.341,403.565,Rate is stable
92003,510.015,488.497,532.467,Rate is stable
92004,717.127,683.035,753.387,Rate is stable
92007,449.492,437.46,461.856,Rate is stable
92008,680.935,671.549,690.452,Rate is stable
92009,509.911,503.332,516.574,Rate is stable
92010,466.769,456.113,477.674,Rate is stable
92011,376.864,369.495,384.379,Rate is stable
92014,403.391,392.215,414.951,Rate is stable
92019,613.54,606.297,620.86,Rate is stable
92020,867.742,860.17,875.372,Rate is stable
92021,828.266,821.398,835.184,Rate is stable
92024,513.541,507.457,519.694,Rate is stable
92025,693.762,686.199,701.398,Rate is stable
92026,601.642,595.034,608.317,Rate is stable
92027,604.318,597.624,611.081,Rate is stable
92028,526.455,520.196,532.782,Rate is stable
92029,528.056,518.201,538.084,Rate is stable
92036,877.398,838.823,917.686,Rate is stable
92037,439.036,432.636,445.53,Rate is stable
92040,935.536,926.15,945.017,Rate is stable
92054,688.637,680.501,696.856,Rate is stable
92055,24.874,15.716,37.898,Rate is stable
92056,603.258,596.907,609.67,Rate is stable
92057,530.539,524.682,536.451,Rate is stable
92058,511.504,502.539,520.614,Rate is stable
92059,1851.465,1748.964,1960.341,Rate is stable
92061,1675.106,1596.229,1757.909,Rate is stable
92064,534.955,528.648,541.327,Rate is stable
92065,767.536,758.502,776.666,Rate is stable
92066,1041.441,914.151,1195.484,Rate is stable
92067,600.058,579.141,621.955,Rate is stable
92069,632.943,625.401,640.57,Rate is stable
92070,1329.173,1246.668,1417.461,Rate is stable
92071,807.743,800.441,815.103,Rate is stable
92075,438.186,427.282,449.391,Rate is stable
92078,479.782,473.653,485.978,Rate is stable
92081,530.821,522.393,539.37,Rate is stable
92082,709.388,697.441,721.523,Rate is stable
92083,786.988,777,797.093,Rate is stable
92084,591.241,584.539,598.011,Rate is stable
92086,503.781,467.644,545.204,Rate is stable
92091,307.501,269.042,352.107,Rate is stable
92101,654.847,645.426,664.761,Rate is stable
92102,545.947,537.913,554.096,Rate is stable
92103,615.665,607.45,624.082,Rate is stable
92104,557.729,549.982,565.599,Rate is stable
92105,576.999,570.733,583.328,Rate is stable
92106,490.754,480.675,501.022,Rate is stable
92107,527.863,519.197,536.677,Rate is stable
92108,518.601,507.188,530.352,Rate is stable
92109,465.295,458.373,472.341,Rate is stable
92110,632.361,622.83,642.041,Rate is stable
92111,519.349,513.062,525.701,Rate is stable
92113,494.289,487.361,501.305,Rate is stable
92114,484.863,479.659,490.116,Rate is stable
92115,580.404,573.436,587.46,Rate is stable
92116,498.807,490.662,507.108,Rate is stable
92117,514.174,508.424,519.989,Rate is stable
92118,308.536,301.314,315.914,Rate is stable
92119,519.586,510.759,528.561,Rate is stable
92120,531.309,523.077,539.677,Rate is stable
92121,663.282,597.555,736.719,Rate is stable
92122,408.379,401.989,414.879,Rate is stable
92123,639.823,630.389,649.392,Rate is stable
92124,435.244,426.666,444.009,Rate is stable
92126,344.729,340.47,349.039,Rate is stable
92127,481.491,474.397,488.679,Rate is stable
92128,433.603,428.117,439.157,Rate is stable
92129,361.902,356.592,367.291,Rate is stable
92130,378.078,371.279,385.027,Rate is stable
92131,329.841,323.713,336.076,Rate is stable
92134,14.224,4.97,41.878,Rate may be unstable
92135,38.45,10.515,135.64,Rate may be unstable
92139,407.058,400.304,413.913,Rate is stable
92140,164.056,92.347,270.758,Rate is stable
92145,91.701,70.484,120.828,Rate is stable
92154,353.115,349.045,357.225,Rate is stable
92155,15.817,5.153,38.328,Rate may be unstable
92173,441.265,433.397,449.256,Rate is stable
92536,1333.17,1283.243,1384.986,Rate is stable
92561,652.047,576.097,745.97,Rate is stable
92590,617.143,591.709,643.672,Rate is stable
92592,529.829,524.595,535.11,Rate is stable
92672,610.488,602.665,618.404,Rate is stable
California,562.338,562.108,562.57,Rate is stable
San Diego,521.117,520.35,521.885,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
