San Francisco  - by Zip Code 2015,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94102,672.748,664.02,681.692,Rate is stable
94103,568.784,559.938,577.86,Rate is stable
94104,988.953,889.45,1099.73,Rate is stable
94105,488.292,466.12,512.453,Rate is stable
94107,362.585,355.054,370.315,Rate is stable
94108,201.675,194.57,209.362,Rate is stable
94109,457.701,451.709,463.867,Rate is stable
94110,437.793,432.779,442.874,Rate is stable
94111,357.644,333.394,393.498,Rate is stable
94112,323.578,319.895,327.303,Rate is stable
94114,439.24,431.569,447.137,Rate is stable
94115,542.299,534.361,550.407,Rate is stable
94116,253.107,248.738,257.556,Rate is stable
94117,401.68,395.031,408.501,Rate is stable
94118,283.005,277.943,288.177,Rate is stable
94121,276.935,272.123,281.858,Rate is stable
94122,278.348,274.321,282.438,Rate is stable
94123,357.229,348.93,365.799,Rate is stable
94124,694.699,685.899,703.593,Rate is stable
94127,312.585,305.25,320.122,Rate is stable
94129,298.835,276.142,323.194,Rate is stable
94130,965.78,916.273,1023.634,Rate is stable
94131,360.816,354.055,367.727,Rate is stable
94132,314.714,308.316,321.263,Rate is stable
94133,272.407,266.434,278.547,Rate is stable
94134,352.591,347.156,358.102,Rate is stable
94158,390.392,367.617,416.189,Rate is stable
California,587.05,586.812,587.288,Rate is stable
San Francisco,371.625,370.392,372.868,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
