San Joaquin  - by Zip Code 2022,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94513,401.178,396.648,405.76,Rate is stable
94514,463.316,425.531,504.442,Rate is stable
95202,546.058,529.334,563.276,Rate is stable
95203,447.713,435.939,459.838,Rate is stable
95204,476.159,468.449,483.991,Rate is stable
95205,338.084,331.633,344.649,Rate is stable
95206,309.462,305.02,313.962,Rate is stable
95207,379.414,374.103,384.792,Rate is stable
95209,410.906,405.046,416.84,Rate is stable
95210,389.839,383.756,396.008,Rate is stable
95211,14.986,7.217,27.493,Rate may be unstable
95212,291.402,284.326,298.657,Rate is stable
95215,258.948,253.051,264.969,Rate is stable
95219,307.207,300.844,313.688,Rate is stable
95220,296.391,285.071,308.183,Rate is stable
95230,490.34,413.784,580.602,Rate is stable
95231,240.45,227.049,254.602,Rate is stable
95236,269.821,254.584,286.043,Rate is stable
95237,414.377,391.649,438.347,Rate is stable
95240,384.016,378.624,389.476,Rate is stable
95242,361.241,354.685,367.911,Rate is stable
95258,315.352,298.329,333.579,Rate is stable
95304,404.155,394.009,414.642,Rate is stable
95320,352.951,342.305,363.916,Rate is stable
95330,423.781,414.09,433.762,Rate is stable
95336,460.681,455.04,466.388,Rate is stable
95337,366.514,360.588,372.525,Rate is stable
95361,470.016,463.347,476.776,Rate is stable
95366,422.443,413.069,432.024,Rate is stable
95376,423.851,418.413,429.35,Rate is stable
95377,384.768,377.435,392.275,Rate is stable
95385,301.364,239.139,385.205,Rate is stable
95391,314.604,302.753,326.986,Rate is stable
95632,366.826,360.676,373.066,Rate is stable
95690,332.272,303.928,364.648,Rate is stable
California,291.048,290.889,291.206,Rate is stable
San Joaquin,367.545,366.213,368.881,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
