San Joaquin  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94513,376.295,371.859,380.784,Rate is stable
94514,461.223,420.122,506.186,Rate is stable
95202,552.263,534.941,570.118,Rate is stable
95203,457.932,445.675,470.538,Rate is stable
95204,481.575,473.617,489.666,Rate is stable
95205,361.67,354.956,368.496,Rate is stable
95206,302.532,298.076,307.046,Rate is stable
95207,381.516,376.048,387.055,Rate is stable
95209,406.82,400.869,412.849,Rate is stable
95210,385.476,379.268,391.775,Rate is stable
95211,10.761,4.361,22.081,Rate may be unstable
95212,298.007,290.762,305.427,Rate is stable
95215,286.882,280.527,293.371,Rate is stable
95219,298.601,292.2,305.122,Rate is stable
95220,298.709,287.22,310.662,Rate is stable
95230,506.71,429.769,597.547,Rate is stable
95231,251.101,237.299,265.664,Rate is stable
95236,265.718,250.133,282.369,Rate is stable
95237,416.593,393.277,441.258,Rate is stable
95240,388.207,382.695,393.79,Rate is stable
95242,357.076,350.384,363.891,Rate is stable
95258,323.35,304.573,343.403,Rate is stable
95304,381.685,371.714,392.003,Rate is stable
95320,456.72,444.138,469.646,Rate is stable
95330,403.036,393.61,412.741,Rate is stable
95336,500.862,494.874,506.92,Rate is stable
95337,381.493,375.386,387.686,Rate is stable
95361,504.1,497.065,511.228,Rate is stable
95366,403.46,394.116,413.024,Rate is stable
95376,422.607,417.07,428.207,Rate is stable
95377,378.007,370.646,385.541,Rate is stable
95385,289.795,231.78,368.237,Rate is stable
95391,296.46,285.039,308.399,Rate is stable
95632,373.963,367.619,380.404,Rate is stable
95690,350.762,319.014,386.911,Rate is stable
California,295.981,295.818,296.145,Rate is stable
San Joaquin,360.155,358.846,361.468,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
