San Luis Obispo  - by Zip Code 2022,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93252,176.51,162.014,192.225,Rate is stable
93401,321.625,315.191,328.188,Rate is stable
93402,243.21,236.243,250.397,Rate is stable
93405,210.094,203.477,216.941,Rate is stable
93420,284.378,278.75,290.135,Rate is stable
93422,350.828,344.579,357.193,Rate is stable
93426,234.199,211.156,264.897,Rate is stable
93428,305.642,288.899,323.655,Rate is stable
93430,356.816,328.412,388.437,Rate is stable
93432,816.878,708.985,939.739,Rate is stable
93433,326.534,316.905,336.446,Rate is stable
93442,345.319,334.437,356.6,Rate is stable
93444,399.843,391.429,408.432,Rate is stable
93445,302.165,289.897,314.933,Rate is stable
93446,310.32,305.5,315.214,Rate is stable
93449,376.737,357.576,396.862,Rate is stable
93451,314.783,297.837,332.955,Rate is stable
93452,155.571,119.46,208.898,Rate is stable
93453,700.189,640.033,774.707,Rate is stable
93454,435.336,428.833,441.925,Rate is stable
93461,305.968,274.317,343.92,Rate is stable
93465,339.483,328.39,351.037,Rate is stable
California,291.048,290.889,291.206,Rate is stable
San Luis Obispo,318.825,316.78,320.882,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
