San Mateo  - by Zip Code 2011,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94002,472.813,464.801,480.949,Rate is stable
94005,619.573,591.381,649.644,Rate is stable
94010,382.928,377.147,388.797,Rate is stable
94014,309.949,305.084,314.884,Rate is stable
94015,347.282,342.94,351.676,Rate is stable
94019,434.692,425.557,444.016,Rate is stable
94020,949.435,864.984,1046.88,Rate is stable
94021,375.309,286.467,485.519,Rate is stable
94025,358.663,352.952,364.456,Rate is stable
94027,351.933,335.619,369.147,Rate is stable
94028,436.065,409.299,464.797,Rate is stable
94030,430.549,422.352,438.898,Rate is stable
94038,585.601,556.83,615.982,Rate is stable
94044,711.496,703.259,719.817,Rate is stable
94060,564.713,528.56,603.142,Rate is stable
94061,476.077,469.242,483.007,Rate is stable
94062,468.588,460.61,476.693,Rate is stable
94063,477.962,469.55,486.542,Rate is stable
94065,345.19,334.884,355.824,Rate is stable
94066,503.484,497,510.045,Rate is stable
94070,460.919,453.281,468.683,Rate is stable
94074,96.953,71.181,130.816,Rate is stable
94080,445.329,440.418,450.288,Rate is stable
94128,812.751,677.876,977.309,Rate is stable
94303,326.979,321.702,332.331,Rate is stable
94401,518.077,510.781,525.469,Rate is stable
94402,439.99,431.941,448.176,Rate is stable
94403,441.681,435.632,447.809,Rate is stable
94404,325.878,320.154,331.707,Rate is stable
California,588.555,588.31,588.8,Rate is stable
San Mateo,439.435,437.972,440.908,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
