Santa Barbara  - by Zip Code 2021,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93013,241.162,234.35,248.181,Rate is stable
93067,379.167,337.237,428.364,Rate is stable
93101,294.619,288.356,301.001,Rate is stable
93103,228.64,222.045,235.426,Rate is stable
93105,285.711,280.066,291.48,Rate is stable
93108,312.592,295.085,331.297,Rate is stable
93109,278.646,268.376,289.314,Rate is stable
93110,272.227,264.116,280.577,Rate is stable
93111,254.065,247.43,260.9,Rate is stable
93117,246.583,241.48,251.783,Rate is stable
93252,184.379,169.596,200.4,Rate is stable
93254,359.927,318.064,409.506,Rate is stable
93427,369.478,353.506,386.612,Rate is stable
93429,57.575,35.356,93.757,Rate is stable
93434,417.336,400.751,434.54,Rate is stable
93436,469.891,464.321,475.519,Rate is stable
93437,509.782,401.731,640.994,Rate is stable
93441,497.334,424.479,589.308,Rate is stable
93454,520.905,513.729,528.166,Rate is stable
93455,419.581,413.874,425.365,Rate is stable
93458,327.621,322.125,333.203,Rate is stable
93460,269.393,257.127,282.493,Rate is stable
93463,291.307,279.466,303.692,Rate is stable
California,321.714,321.546,321.882,Rate is stable
Santa Barbara,336.847,335.193,338.508,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
