Santa Barbara  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93013,237.024,230.154,244.105,Rate is stable
93067,318.076,276.253,367.604,Rate is stable
93101,273.117,267.009,279.346,Rate is stable
93103,232.011,225.157,239.062,Rate is stable
93105,251.789,246.446,257.259,Rate is stable
93108,241.044,227.798,255.395,Rate is stable
93109,264.091,254.028,274.56,Rate is stable
93110,264.137,255.964,272.567,Rate is stable
93111,253.944,247.205,260.891,Rate is stable
93117,240.988,235.888,246.19,Rate is stable
93252,321.793,302.176,342.58,Rate is stable
93254,429.28,382.383,483.602,Rate is stable
93427,387.162,370.412,405.127,Rate is stable
93429,64.547,42.389,101.671,Rate is stable
93434,482.071,463.893,500.908,Rate is stable
93436,415.334,410.055,420.675,Rate is stable
93437,164.084,126.27,220.497,Rate is stable
93441,521.988,454.134,608.687,Rate is stable
93454,476.115,469.206,483.113,Rate is stable
93455,393.613,387.993,399.316,Rate is stable
93458,352.379,346.64,358.199,Rate is stable
93460,311.993,298.766,326.071,Rate is stable
93463,305.433,293.21,318.213,Rate is stable
California,295.981,295.818,296.145,Rate is stable
Santa Barbara,318.635,317.014,320.264,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
