Santa Clara  - by Zip Code 2020,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94022,178.657,172.023,185.609,Rate is stable
94024,173.437,168.226,178.833,Rate is stable
94040,186.94,182.353,191.632,Rate is stable
94041,187.331,179.761,195.232,Rate is stable
94043,161.631,157.109,166.288,Rate is stable
94085,165.861,159.517,172.48,Rate is stable
94086,167.646,163.797,171.589,Rate is stable
94087,180.946,177.636,184.324,Rate is stable
94089,210.041,204.014,216.26,Rate is stable
94301,204.436,197.869,211.264,Rate is stable
94303,195.951,191.944,200.032,Rate is stable
94304,203.881,187.825,221.385,Rate is stable
94305,130.379,120.306,141.324,Rate is stable
94306,143.263,139.108,147.536,Rate is stable
94550,348.041,343.197,352.955,Rate is stable
95002,263.837,241.813,287.609,Rate is stable
95008,234.316,230.129,238.577,Rate is stable
95013,2.497,0.063,18.156,Rate is unstable interpret with caution
95014,123.535,120.746,126.393,Rate is stable
95020,288.482,284.347,292.668,Rate is stable
95023,314.737,310.022,319.512,Rate is stable
95030,229.131,220.385,238.29,Rate is stable
95032,382.21,375.054,389.547,Rate is stable
95033,255.881,245.687,266.545,Rate is stable
95035,123.873,121.486,126.304,Rate is stable
95037,281.113,276.715,285.574,Rate is stable
95046,330.694,316.065,345.99,Rate is stable
95050,217.625,212.958,222.39,Rate is stable
95051,164.193,160.92,167.526,Rate is stable
95053,14.857,6.793,28.203,Rate may be unstable
95054,188.014,181.894,194.316,Rate is stable
95070,159.946,155.453,164.6,Rate is stable
95076,304.538,300.806,308.309,Rate is stable
95110,263.11,252.978,273.725,Rate is stable
95111,198.721,195.062,202.448,Rate is stable
95112,224.156,220.086,228.292,Rate is stable
95113,699.435,631.554,781.104,Rate is stable
95116,218.225,214.246,222.264,Rate is stable
95117,233.906,228.102,239.853,Rate is stable
95118,257.966,252.587,263.462,Rate is stable
95119,203.981,195.384,212.912,Rate is stable
95120,166.99,162.644,171.476,Rate is stable
95121,165.169,161.249,169.178,Rate is stable
95122,173.137,169.643,176.692,Rate is stable
95123,252.726,249.076,256.423,Rate is stable
95124,225.417,221.473,229.434,Rate is stable
95125,245.354,241.401,249.373,Rate is stable
95126,243.647,238.275,249.128,Rate is stable
95127,196.224,192.94,199.554,Rate is stable
95128,446.534,439.758,453.409,Rate is stable
95129,133.441,130.072,136.896,Rate is stable
95130,183.44,176.465,190.717,Rate is stable
95131,107.437,103.78,111.212,Rate is stable
95132,148.461,144.951,152.046,Rate is stable
95133,141.6,137.361,145.955,Rate is stable
95134,232.245,222.452,242.522,Rate is stable
95135,141.46,136.47,146.663,Rate is stable
95136,222.357,218.126,226.661,Rate is stable
95138,168.637,162.838,174.625,Rate is stable
95139,273.948,261.542,286.937,Rate is stable
95140,190.605,137.363,261.867,Rate is stable
95148,149.823,146.514,153.205,Rate is stable
California,333.302,333.129,333.475,Rate is stable
Santa Clara,200.741,200.134,201.349,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
