Santa Cruz  - by Zip Code 2020,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95003,294.844,288.334,301.516,Rate is stable
95005,336.403,320.964,352.747,Rate is stable
95006,422.548,409.172,436.384,Rate is stable
95010,475.968,462.609,489.813,Rate is stable
95017,307.63,234.312,420.024,Rate is stable
95018,425.452,409.348,442.352,Rate is stable
95019,308.042,294.802,321.931,Rate is stable
95033,255.881,245.687,266.545,Rate is stable
95060,298.383,293.475,303.373,Rate is stable
95062,384.893,378.951,390.93,Rate is stable
95064,209.353,161.347,285.835,Rate is stable
95065,304.237,293.397,315.508,Rate is stable
95066,322.347,314.01,330.903,Rate is stable
95073,345.501,334.537,356.813,Rate is stable
95076,304.538,300.806,308.309,Rate is stable
California,333.302,333.129,333.475,Rate is stable
Santa Cruz,333.409,331.305,335.524,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
