Santa Cruz  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95003,272.136,265.805,278.627,Rate is stable
95005,358.857,341.935,376.666,Rate is stable
95006,350.948,338.713,363.748,Rate is stable
95010,398.554,386.803,410.701,Rate is stable
95017,208.923,153.601,301.974,Rate is stable
95018,472.989,455.673,490.915,Rate is stable
95019,244.431,233.553,255.764,Rate is stable
95033,201.411,192.253,211.065,Rate is stable
95060,237.42,232.994,241.93,Rate is stable
95062,344.121,338.526,349.808,Rate is stable
95064,119.156,94.801,152.819,Rate is stable
95065,283.31,272.37,294.695,Rate is stable
95066,275.228,266.779,283.961,Rate is stable
95073,278.259,268.645,288.204,Rate is stable
95076,270.261,266.754,273.808,Rate is stable
California,295.981,295.818,296.145,Rate is stable
Santa Cruz,289.885,287.893,291.891,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
