Shasta  - by Zip Code 2020,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
96001,488.596,481.612,495.683,Rate is stable
96002,499.458,492.416,506.59,Rate is stable
96003,455.979,449.899,462.141,Rate is stable
96007,590.788,581.441,600.285,Rate is stable
96008,761.715,686.267,849.45,Rate is stable
96013,475.77,456.693,495.679,Rate is stable
96016,173.884,131.742,233.847,Rate is stable
96019,515.659,502.468,529.2,Rate is stable
96022,460.576,450.899,470.461,Rate is stable
96025,566.999,533.733,602.831,Rate is stable
96028,719.706,659.69,786.185,Rate is stable
96033,612.617,547.916,693.491,Rate is stable
96040,125.373,57.054,294.693,Rate may be unstable
96047,776.912,663.608,911.757,Rate is stable
96051,281.457,256.534,310.232,Rate is stable
96056,459.078,424.376,497.294,Rate is stable
96062,324.082,279.121,377.388,Rate is stable
96065,799.654,635.994,1117.042,Rate is stable
96069,603.58,548.004,685.545,Rate is stable
96071,136.341,70.91,238.111,Rate is stable
96073,280.569,264.6,297.848,Rate is stable
96076,514.667,326.635,802.491,Rate is stable
96087,1423.634,1295.709,1562.337,Rate is stable
96088,466.83,444.643,490.377,Rate is stable
96096,329.6,283.065,386.429,Rate is stable
California,333.302,333.129,333.475,Rate is stable
Shasta,525.057,521.883,528.249,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
