Siskiyou  - by Zip Code 2022,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95568,104.132,39.256,275.81,Rate may be unstable
96014,73.673,44.451,122.205,Rate is stable
96023,47.634,36.027,64.424,Rate is stable
96025,530.397,498.001,565.133,Rate is stable
96027,253.934,231.253,281.453,Rate is stable
96031,61.728,35.379,151.204,Rate is stable
96032,304.683,282.535,328.77,Rate is stable
96034,166.222,127.77,220.58,Rate is stable
96038,417.663,354.838,493.059,Rate is stable
96039,798.673,727.472,882.365,Rate is stable
96044,260.718,230.965,294.838,Rate is stable
96050,569.581,415.872,769.4,Rate is stable
96057,593.135,537.439,660.141,Rate is stable
96058,403.041,225.418,747.756,Rate is stable
96064,333.803,315.361,353.27,Rate is stable
96067,339.748,326.679,353.684,Rate is stable
96085,87.102,43.811,177.831,Rate is stable
96086,764.282,616.004,946.394,Rate is stable
96094,340.486,327.685,353.898,Rate is stable
96097,441.888,428.083,456.146,Rate is stable
96134,40.605,30.756,53.399,Rate is stable
California,291.048,290.889,291.206,Rate is stable
Siskiyou,379.179,373.412,385.029,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
