Solano  - by Zip Code 2020,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94503,325.789,318.186,333.546,Rate is stable
94510,319.69,313.538,325.976,Rate is stable
94512,9.364,2.551,23.975,Rate may be unstable
94533,499.401,494.372,504.473,Rate is stable
94534,309.947,304.616,315.365,Rate is stable
94535,76.658,61.297,95.769,Rate is stable
94571,512.621,495.233,531.019,Rate is stable
94585,394.51,387.254,401.891,Rate is stable
94589,403.125,396.287,410.07,Rate is stable
94590,486,479.02,493.069,Rate is stable
94591,355.759,351.041,360.539,Rate is stable
94592,644.273,546.39,761.049,Rate is stable
95616,264.066,258.488,269.763,Rate is stable
95618,175.59,170.517,180.792,Rate is stable
95620,395.273,387.128,403.571,Rate is stable
95687,402.07,397.548,406.637,Rate is stable
95688,427.72,421.355,434.167,Rate is stable
95690,292.087,268.299,318.145,Rate is stable
95694,393.551,380.869,406.605,Rate is stable
California,333.302,333.129,333.475,Rate is stable
Solano,394.739,392.976,396.508,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
