Sonoma  - by Zip Code 2010,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94515,569.755,552.866,587.091,Rate is stable
94922,1057.429,956.379,1167.889,Rate is stable
94923,753.199,704.099,805.995,Rate is stable
94928,956.028,946.264,965.885,Rate is stable
94931,1028.632,1007.043,1050.661,Rate is stable
94951,731.207,705.301,758.026,Rate is stable
94952,802.572,793.208,812.03,Rate is stable
94954,809.083,800.119,818.131,Rate is stable
94972,8021.484,6986.887,9219.279,Rate is stable
95401,970.282,960.049,980.609,Rate is stable
95403,869.691,861.105,878.349,Rate is stable
95404,771.977,763.488,780.547,Rate is stable
95405,1028.363,1015.242,1041.63,Rate is stable
95407,840.154,829.995,850.444,Rate is stable
95409,832.112,820.844,843.517,Rate is stable
95412,347.406,291.246,414.532,Rate is stable
95421,731.28,688.326,776.885,Rate is stable
95425,1123.386,1103.937,1143.136,Rate is stable
95436,914.673,889.787,940.257,Rate is stable
95439,971.1,897.25,1050.609,Rate is stable
95441,548.704,516.991,582.089,Rate is stable
95442,698.137,670.284,727.124,Rate is stable
95444,1027.961,953.934,1107.325,Rate is stable
95446,1110.997,1082.242,1140.557,Rate is stable
95448,711.966,699.496,724.63,Rate is stable
95450,879.703,772.097,1008.567,Rate is stable
95452,752.574,698.791,810.349,Rate is stable
95462,824.62,778.66,874.065,Rate is stable
95465,555.742,524.028,589.455,Rate is stable
95472,749.023,738.908,759.271,Rate is stable
95476,770.124,761.18,779.16,Rate is stable
95492,795.739,785.257,806.34,Rate is stable
95497,213.871,176.325,265.12,Rate is stable
California,606.775,606.522,607.028,Rate is stable
Sonoma,856.858,854.295,859.425,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
