Stanislaus  - by Zip Code 2014,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95230,893.923,772.67,1040.443,Rate is stable
95307,1201.994,1190.962,1213.111,Rate is stable
95313,1180.978,1091.856,1277.565,Rate is stable
95316,989.53,964.327,1015.287,Rate is stable
95322,852.133,831.008,873.775,Rate is stable
95323,926.56,870.296,986.207,Rate is stable
95326,1080.428,1058.373,1102.866,Rate is stable
95329,877.773,840.934,916.209,Rate is stable
95350,1421.825,1411.544,1432.172,Rate is stable
95351,1122.598,1112.363,1132.919,Rate is stable
95354,1346.991,1332.028,1362.115,Rate is stable
95355,1150.38,1141.807,1159.006,Rate is stable
95356,969.956,959.019,981.004,Rate is stable
95357,998.024,979.275,1017.099,Rate is stable
95358,859.567,848.464,870.805,Rate is stable
95360,981.334,960.332,1002.936,Rate is stable
95361,1129.148,1117.678,1140.725,Rate is stable
95363,842.067,829.77,854.535,Rate is stable
95367,1026.557,1013.085,1040.184,Rate is stable
95368,1131.478,1098.474,1166.158,Rate is stable
95380,1088.817,1078.445,1099.275,Rate is stable
95382,761.725,752.842,770.699,Rate is stable
95385,504.747,427.579,595.102,Rate is stable
95386,1132.799,1106.298,1160.21,Rate is stable
California,582.565,582.325,582.802,Rate is stable
Stanislaus,1080.875,1078.027,1083.73,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
