Sutter  - by Zip Code 2014,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95626,1036.404,1009.62,1063.88,Rate is stable
95645,611.88,567.891,660.362,Rate is stable
95659,794.34,720.29,877.007,Rate is stable
95668,812.559,742.379,888.729,Rate is stable
95674,893.132,817.081,975.939,Rate is stable
95692,873.202,846.409,900.859,Rate is stable
95953,1047.276,1027.375,1067.508,Rate is stable
95957,1358.805,1266.124,1458.875,Rate is stable
95982,1185.095,1142.2,1230.351,Rate is stable
95991,1211.455,1200.355,1222.643,Rate is stable
95993,791.275,782.208,800.435,Rate is stable
California,582.565,582.325,582.802,Rate is stable
Sutter,990.703,984.37,997.072,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.02.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/02/26., https://skylab.cdph.ca.gov/ODdash/,,
