Tehama  - by Zip Code 2015,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95428,1201.743,1148.254,1257.568,Rate is stable
95963,985.497,969.194,1002.061,Rate is stable
95973,896.145,886.215,906.17,Rate is stable
96021,1176.904,1159.745,1194.281,Rate is stable
96022,1064.257,1048.386,1080.355,Rate is stable
96035,975.087,940.513,1010.936,Rate is stable
96055,1251.751,1215.682,1288.84,Rate is stable
96059,916.659,814.557,1033.295,Rate is stable
96063,290.948,192.816,434.609,Rate is stable
96075,1527.079,1369.977,1740.978,Rate is stable
96076,1958.661,1502.486,2523.596,Rate is stable
96080,1332.707,1318.893,1346.653,Rate is stable
California,587.05,586.812,587.288,Rate is stable
Tehama,1024.153,1016.318,1032.033,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.02.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/02/26., https://skylab.cdph.ca.gov/ODdash/,,
