Trinity  - by Zip Code 2021,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95526,1407.391,1186.105,1677.893,Rate is stable
95527,422.325,334.107,544.732,Rate is stable
95552,264.461,203.954,373.58,Rate is stable
95563,892.677,781.816,1024.858,Rate is stable
95595,558.326,433.078,710.592,Rate is stable
96010,533.729,441.027,645.936,Rate is stable
96024,592.104,525.019,672.577,Rate is stable
96041,431.654,400.535,465.399,Rate is stable
96046,70.836,52.118,97.674,Rate is stable
96048,591.414,482.311,723.087,Rate is stable
96052,530.617,498.769,565.196,Rate is stable
96076,199.638,163.6,286.054,Rate is stable
96091,434.464,377.943,509.116,Rate is stable
96093,1952.599,1785.11,2133.608,Rate is stable
California,321.714,321.546,321.882,Rate is stable
Trinity,526.066,513.299,539.133,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.02.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/02/26., https://skylab.cdph.ca.gov/ODdash/,,
