Tulare  - by Zip Code 2019,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93207,696.297,580.546,839.737,Rate is stable
93212,466.167,456.802,475.714,Rate is stable
93215,285.573,280.646,290.573,Rate is stable
93219,397.656,382.073,413.779,Rate is stable
93221,591.435,579.427,603.666,Rate is stable
93223,571.882,553.482,590.998,Rate is stable
93235,585.468,554.548,618.017,Rate is stable
93244,1001.676,832.077,1216.387,Rate is stable
93247,430.559,420.734,440.584,Rate is stable
93256,537.731,504.992,572.857,Rate is stable
93257,612.679,606.953,618.449,Rate is stable
93260,390.018,311.417,489.835,Rate is stable
93262,21.67,7.239,52.05,Rate may be unstable
93265,616.263,582.905,652.55,Rate is stable
93267,397.752,382.099,413.973,Rate is stable
93270,448.222,428.606,468.646,Rate is stable
93271,464.009,434.813,496.401,Rate is stable
93272,328.006,302.087,356.295,Rate is stable
93274,649.911,643.595,656.281,Rate is stable
93277,712.627,705.455,719.861,Rate is stable
93286,513.708,498.182,529.648,Rate is stable
93291,572.004,565.24,578.84,Rate is stable
93292,626.856,618.683,635.126,Rate is stable
93527,1578.259,1484.191,1678.027,Rate is stable
93603,88.697,65.504,121.658,Rate is stable
93615,339.765,322.041,358.612,Rate is stable
93618,448.018,439.914,456.247,Rate is stable
93631,601.592,589.22,614.191,Rate is stable
93633,0,,,Not applicable
93646,433.801,418.862,449.317,Rate is stable
93647,413.322,398.463,428.834,Rate is stable
93654,607.28,598.548,616.121,Rate is stable
California,400.571,400.379,400.762,Rate is stable
Tulare,569.168,566.9,571.444,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.02.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/02/26., https://skylab.cdph.ca.gov/ODdash/,,
